,comment,like,owner,shortcode,timestamp,account,date,time,info
0,0,8,6667199016,B1qWueRFFqI,2019-08-27 09:09:16,https://www.instagram.com/p/B1qWueRFFqI/,2019-08-27,09:09:16,https://i.instagram.com/api/v1/users/6667199016/info/
1,1,52,1477875152,B1qV9UoH6eh,2019-08-27 09:00:07,https://www.instagram.com/p/B1qV9UoH6eh/,2019-08-27,09:00:07,https://i.instagram.com/api/v1/users/1477875152/info/
2,0,47,1169181900,B1qU2Q4A_t5,2019-08-27 08:53:32,https://www.instagram.com/p/B1qU2Q4A_t5/,2019-08-27,08:53:32,https://i.instagram.com/api/v1/users/1169181900/info/
3,0,6,1052861204,B1qS4pnh6ye,2019-08-27 08:33:15,https://www.instagram.com/p/B1qS4pnh6ye/,2019-08-27,08:33:15,https://i.instagram.com/api/v1/users/1052861204/info/
4,0,209,8727010621,B1qSmBnAqMg,2019-08-27 08:30:43,https://www.instagram.com/p/B1qSmBnAqMg/,2019-08-27,08:30:43,https://i.instagram.com/api/v1/users/8727010621/info/
5,2,32,5605862950,B1qSZcxlyMv,2019-08-27 08:29:00,https://www.instagram.com/p/B1qSZcxlyMv/,2019-08-27,08:29:00,https://i.instagram.com/api/v1/users/5605862950/info/
6,19,592,205851845,B1qR6lXg8iV,2019-08-27 08:24:47,https://www.instagram.com/p/B1qR6lXg8iV/,2019-08-27,08:24:47,https://i.instagram.com/api/v1/users/205851845/info/
7,0,3,1052861204,B1qREnuhUtF,2019-08-27 08:17:25,https://www.instagram.com/p/B1qREnuhUtF/,2019-08-27,08:17:25,https://i.instagram.com/api/v1/users/1052861204/info/
8,1,17,1052861204,B1qQPBtBzcl,2019-08-27 08:10:06,https://www.instagram.com/p/B1qQPBtBzcl/,2019-08-27,08:10:06,https://i.instagram.com/api/v1/users/1052861204/info/
9,0,14,2115358338,B1qN6CXhCxo,2019-08-27 07:56:49,https://www.instagram.com/p/B1qN6CXhCxo/,2019-08-27,07:56:49,https://i.instagram.com/api/v1/users/2115358338/info/
10,0,19,3946031387,B1qKs4yARLo,2019-08-27 07:21:45,https://www.instagram.com/p/B1qKs4yARLo/,2019-08-27,07:21:45,https://i.instagram.com/api/v1/users/3946031387/info/
11,0,10,2115358338,B1qJA2bB1_Q,2019-08-27 07:16:50,https://www.instagram.com/p/B1qJA2bB1_Q/,2019-08-27,07:16:50,https://i.instagram.com/api/v1/users/2115358338/info/
12,1,71,634640967,B1qI_kIHerd,2019-08-27 07:06:49,https://www.instagram.com/p/B1qI_kIHerd/,2019-08-27,07:06:49,https://i.instagram.com/api/v1/users/634640967/info/
13,4,801,1700245823,B1qFV8fluXk,2019-08-27 06:37:13,https://www.instagram.com/p/B1qFV8fluXk/,2019-08-27,06:37:13,https://i.instagram.com/api/v1/users/1700245823/info/
14,5,95,514354476,B1pvrGPhAFf,2019-08-27 05:41:16,https://www.instagram.com/p/B1pvrGPhAFf/,2019-08-27,05:41:16,https://i.instagram.com/api/v1/users/514354476/info/
15,1,9,4858759534,B1p-84_gson,2019-08-27 05:39:04,https://www.instagram.com/p/B1p-84_gson/,2019-08-27,05:39:04,https://i.instagram.com/api/v1/users/4858759534/info/
16,9,109,2690482912,B1p6VYtn8xl,2019-08-27 04:58:44,https://www.instagram.com/p/B1p6VYtn8xl/,2019-08-27,04:58:44,https://i.instagram.com/api/v1/users/2690482912/info/
17,0,57,300815682,B1p4h6QFLtM,2019-08-27 04:42:58,https://www.instagram.com/p/B1p4h6QFLtM/,2019-08-27,04:42:58,https://i.instagram.com/api/v1/users/300815682/info/
18,10,79,1429759148,B1p07nMgjiy,2019-08-27 04:18:20,https://www.instagram.com/p/B1p07nMgjiy/,2019-08-27,04:18:20,https://i.instagram.com/api/v1/users/1429759148/info/
19,0,103,189368610,B1py3d1HZR1,2019-08-27 03:53:29,https://www.instagram.com/p/B1py3d1HZR1/,2019-08-27,03:53:29,https://i.instagram.com/api/v1/users/189368610/info/
20,2,30,2016310896,B1pyyiEHNMC,2019-08-27 03:52:48,https://www.instagram.com/p/B1pyyiEHNMC/,2019-08-27,03:52:48,https://i.instagram.com/api/v1/users/2016310896/info/
21,0,13,263852601,B1pyCdpnRxR,2019-08-27 03:47:37,https://www.instagram.com/p/B1pyCdpnRxR/,2019-08-27,03:47:37,https://i.instagram.com/api/v1/users/263852601/info/
22,0,25,299752024,B1pxHzKFbSQ,2019-08-27 03:43:02,https://www.instagram.com/p/B1pxHzKFbSQ/,2019-08-27,03:43:02,https://i.instagram.com/api/v1/users/299752024/info/
23,3,93,54705097,B1pxbzTho3g,2019-08-27 03:40:58,https://www.instagram.com/p/B1pxbzTho3g/,2019-08-27,03:40:58,https://i.instagram.com/api/v1/users/54705097/info/
24,1,50,205370486,B1ps-NynJhZ,2019-08-27 03:01:58,https://www.instagram.com/p/B1ps-NynJhZ/,2019-08-27,03:01:58,https://i.instagram.com/api/v1/users/205370486/info/
25,2,65,581081411,B1pqnm1BIe0,2019-08-27 02:41:24,https://www.instagram.com/p/B1pqnm1BIe0/,2019-08-27,02:41:24,https://i.instagram.com/api/v1/users/581081411/info/
26,2,41,3697419939,B1ppyM2BVec,2019-08-27 02:34:07,https://www.instagram.com/p/B1ppyM2BVec/,2019-08-27,02:34:07,https://i.instagram.com/api/v1/users/3697419939/info/
