"url","News Date","News Title","News Title_link","News Summary"
"https://search.sindonews.com/search?type=artikel&q=pupr","Minggu, 30 Desember 2018 - 17:33 WIB","Menteri PUPR: Infrastruktur Kerakyatan Tetap Menjadi Prioritas di 2019","https://ekbis.sindonews.com/read/1366748/34/menteri-pupr-infrastruktur-kerakyatan-tetap-menjadi-prioritas-di-2019-1546162746","Menteri PUPR Basuki Hadimuljono menegaskan bahwa infrastruktur kerakyatan seperti rumah bagi masyarakat berpenghasilan rendah dan lainnya tetap jadi program prioritas Pemerintah."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Minggu, 30 Desember 2018 - 17:21 WIB","Tim Prabowo-Sandi Sebut Korupsi di Kementerian PUPR Memalukan","https://nasional.sindonews.com/read/1366761/13/tim-prabowo-sandi-sebut-korupsi-di-kementerian-pupr-memalukan-1546165296","Tim pasangan Prabowo-Sandi menilai tertangkapnya pejabat di lingkungan kerja Kementerian PUPR oleh penyidik Komisi Pemberantasan Korupsi (KPK) adalah hal memalukan."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Minggu, 30 Desember 2018 - 01:47 WIB","Ini Kronologi OTT Suap Pejabat Kemen PUPR","https://nasional.sindonews.com/read/1366655/13/ini-kronologi-ott-suap-pejabat-kemen-pupr-1546109233","Wakil Ketua Komisi Pembarantasan Korupsi (KPK) menjelaskan kronologis operasi tangkap tangan (OTT) terkait suap kepada pejabat Kementrian Pekerjaan Umum dan Perumahan Rakyat (PUPR)."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Minggu, 30 Desember 2018 - 01:22 WIB","KPK Tetapkan 8 Tersangka Kasus Dugaan Suap Pejabat Kemen PUPR","https://nasional.sindonews.com/read/1366654/13/kpk-tetapkan-8-tersangka-kasus-dugaan-suap-pejabat-kemen-pupr-1546107644","KPK menetapkan delapan tersangka terkait suap kepada pejabat di Kementerian Pekerjaan Umum dan Perumahan Rakyat terkait proyek pembangunan Sistem Penyediaan Air Minum (SPAM) tahun anggaran 2017-2018."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Sabtu, 29 Desember 2018 - 07:43 WIB","OTT Pejabat Kemen PUPR, KPK: Proyek SPAM Dianggarkan Tahun 2018","https://nasional.sindonews.com/read/1366530/13/ott-pejabat-kemen-pupr-kpk-proyek-spam-dianggarkan-tahun-2018-1546044180","KPK sejumlah proyek sistem penyediaan air minum (SPAM) nasional di berbagai daerah jadi objek transaksi diduga suap saat dilakukan OTT terhadap 20 orang."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Sabtu, 29 Desember 2018 - 02:13 WIB","Hampir 1 Jam Menunggu, Irjen Kemen PUPR Tunggu Informasi dari KPK","https://nasional.sindonews.com/read/1366521/13/hampir-1-jam-menunggu-irjen-kemen-pupr-tunggu-informasi-dari-kpk-1546024422","Inspektur Jenderal (Irjen) Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) Widiarto meninggalkan Gedung KPK, di Jakarta, sekira pukul 23.46 WIB."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Jum'at, 28 Desember 2018 - 23:36 WIB","OTT Pejabat Kementerian PUPR Diduga Terkait Proyek Air Minum","https://nasional.sindonews.com/read/1366515/13/ott-pejabat-kementerian-pupr-diduga-terkait-proyek-air-minum-1546014993","Irjen Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) Widiarto mengunjungi gedung KPK, pada Jumat 28 Desember 2018, sekitar pukul 22.49 WIB."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Jum'at, 28 Desember 2018 - 22:53 WIB","Respons Menteri PUPR Sikapo Pejabat Ditjen Cipta Karya Kena OTT KPK","https://nasional.sindonews.com/read/1366513/13/respons-menteri-pupr-sikapo-pejabat-ditjen-cipta-karya-kena-ott-kpk-1546012425","Komisi Pemberantasan Korupsi kembali melakukan operasi tangkap tangan (OTT). Kali ini berlangsung di Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR)."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Jum'at, 28 Desember 2018 - 22:05 WIB","KPK OTT Pejabat Kementerian PUPR, 10 Orang Diamankan","https://nasional.sindonews.com/read/1366495/13/kpk-ott-pejabat-kementerian-pupr-10-orang-diamankan-1546009512","KPK kembali melakukan OTT. Kali ini KPK menangkap sekitar 10 orang termasuk satu PPK pada Ditjen Cipta Karya Kementerian PUPR dengan barang bukti Rp500 juta."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Sabtu, 22 Desember 2018 - 05:32 WIB","Mengkaji Syarat Ambil KPR Tak Pakai Batasan Gaji","https://ekbis.sindonews.com/read/1364910/34/mengkaji-syarat-ambil-kpr-tak-pakai-batasan-gaji-1545422491","Kementerian PUPR menyatakan, pemerintah sedang mengkaji syarat untuk pengambilan KPR tidak memakai batasan gaji. Sehingga, para milenial dapat terbantu agar memiliki rumah pertama."
"https://search.sindonews.com/search/12?type=artikel&q=pupr","Jum'at, 21 Desember 2018 - 16:29 WIB","PUPR Tingkatkan Peran 25 Bank Pelaksana Kredit Pemilikan Rumah","https://ekbis.sindonews.com/read/1364745/179/pupr-tingkatkan-peran-25-bank-pelaksana-kredit-pemilikan-rumah-1545384543","Kementerian PUPR melalui Pusat Pengelolaan Dana Pembiayaan Perumahan (PPDPP) melaksanakan PKO dengan 25 Bank Pelaksana tentang penyaluran dana FLPP melalui KPR"
