"url","Image","Image_alt","Image_link","Description 2","Description 2_link","Det News Date"
"https://www.merdeka.com/tag/kementerian-pupr/index6/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/29/1014070/140x70/kementerian-pupr-mulai-hitung-kerugian-negara-akibat-gempa-dan-tsunami-sulteng.jpg","Kementerian PUPR mulai hitung kerugian negara akibat gempa dan tsunami Sulteng","https://www.merdeka.com/uang/kementerian-pupr-mulai-hitung-kerugian-negara-akibat-gempa-dan-tsunami-sulteng.html","Kementerian PUPR mulai hitung kerugian negara akibat gempa dan tsunami Sulteng","https://www.merdeka.com/uang/kementerian-pupr-mulai-hitung-kerugian-negara-akibat-gempa-dan-tsunami-sulteng.html","Sekitar 3 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/27/1013639/250x125/resmi-dibuka-tol-depok-antasari-gratis-selama-seminggu.jpg","Resmi dibuka, tol Depok-Antasari gratis selama seminggu","https://www.merdeka.com/uang/resmi-dibuka-tol-depok-antasari-gratis-selama-seminggu.html","Resmi dibuka, tol Depok-Antasari gratis selama seminggu","https://www.merdeka.com/uang/resmi-dibuka-tol-depok-antasari-gratis-selama-seminggu.html","Sekitar 3 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/22/1012249/140x70/kementerian-pupr-terus-tingkatkan-konektivitas-kawasan-perbatasan-rev-1.jpg","Kementerian PUPR terus tingkatkan konektivitas kawasan perbatasan","https://www.merdeka.com/peristiwa/kementerian-pupr-terus-tingkatkan-konektivitas-kawasan-perbatasan.html","Kementerian PUPR terus tingkatkan konektivitas kawasan perbatasan","https://www.merdeka.com/peristiwa/kementerian-pupr-terus-tingkatkan-konektivitas-kawasan-perbatasan.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/20/1011851/140x70/kementerian-pu-pr-kebut-penyelesaian-tol-cisumdawu-di-desember-2019.jpg","Kementerian PU-PR kebut penyelesaian tol Cisumdawu di Desember 2019","https://www.merdeka.com/uang/kementerian-pu-pr-kebut-penyelesaian-tol-cisumdawu-di-desember-2019.html","Kementerian PU-PR kebut penyelesaian tol Cisumdawu di Desember 2019","https://www.merdeka.com/uang/kementerian-pu-pr-kebut-penyelesaian-tol-cisumdawu-di-desember-2019.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/20/1011821/140x70/lahan-proyek-jalan-perbatasan-sudah-bebas-4877-persen.jpg","Lahan proyek jalan perbatasan sudah bebas 48,77 persen","https://www.merdeka.com/uang/lahan-proyek-jalan-perbatasan-sudah-bebas-4877-persen.html","Lahan proyek jalan perbatasan sudah bebas 48,77 persen","https://www.merdeka.com/uang/lahan-proyek-jalan-perbatasan-sudah-bebas-4877-persen.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/19/1011379/140x70/kementerian-pupr-terus-dorong-inovasi-teknologi-pembangunan-terowongan.jpg","Kementerian PUPR terus dorong inovasi teknologi pembangunan terowongan","https://www.merdeka.com/uang/kementerian-pupr-terus-dorong-inovasi-teknologi-pembangunan-terowongan.html","Kementerian PUPR terus dorong inovasi teknologi pembangunan terowongan","https://www.merdeka.com/uang/kementerian-pupr-terus-dorong-inovasi-teknologi-pembangunan-terowongan.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/17/1010756/140x70/catat-tarif-tol-jorr-menjadi-rp-15000-berlaku-akhir-september-2018.jpg","Catat, tarif tol JORR menjadi Rp 15.000 berlaku akhir September 2018","https://www.merdeka.com/uang/catat-tarif-tol-jorr-menjadi-rp-15000-berlaku-akhir-september-2018.html","Catat, tarif tol JORR menjadi Rp 15.000 berlaku akhir September 2018","https://www.merdeka.com/uang/catat-tarif-tol-jorr-menjadi-rp-15000-berlaku-akhir-september-2018.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/14/1010247/140x70/pembangunan-selesai-tol-depok-antasari-tunggu-uji-kelayakan-operasi.jpg","Pembangunan selesai, tol Depok-Antasari tunggu uji kelayakan operasi","https://www.merdeka.com/uang/pembangunan-selesai-tol-depok-antasari-tunggu-uji-kelayakan-operasi.html","Pembangunan selesai, tol Depok-Antasari tunggu uji kelayakan operasi","https://www.merdeka.com/uang/pembangunan-selesai-tol-depok-antasari-tunggu-uji-kelayakan-operasi.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/14/1010235/140x70/ganti-rugi-lahan-dibayar-oktober-tol-kunciran--serpong-ditarget-rampung-april-2019.jpg","Ganti rugi lahan dibayar Oktober, tol Kunciran - Serpong ditarget rampung April 2019","https://www.merdeka.com/uang/ganti-rugi-lahan-dibayar-oktober-tol-kunciran-serpong-ditarget-rampung-april-2019.html","Ganti rugi lahan dibayar Oktober, tol Kunciran - Serpong ditarget rampung April 2019","https://www.merdeka.com/uang/ganti-rugi-lahan-dibayar-oktober-tol-kunciran-serpong-ditarget-rampung-april-2019.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/13/1010031/140x70/pupr-optimis-program-satu-juta-rumah-capai-target-di-tahun-ini.jpg","PUPR optimis program satu juta rumah capai target di tahun ini","https://www.merdeka.com/uang/pupr-optimis-program-satu-juta-rumah-capai-target-di-tahun-ini.html","PUPR optimis program satu juta rumah capai target di tahun ini","https://www.merdeka.com/uang/pupr-optimis-program-satu-juta-rumah-capai-target-di-tahun-ini.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/10/1009377/140x70/menengok-nasib-terkini-fasilitas-asian-games-2018.jpg","Menengok nasib terkini fasilitas Asian Games 2018","https://www.merdeka.com/uang/menengok-nasib-terkini-fasilitas-asian-games-2018.html","Menengok nasib terkini fasilitas Asian Games 2018","https://www.merdeka.com/uang/menengok-nasib-terkini-fasilitas-asian-games-2018.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/10/1009262/140x70/kementerian-pupr-apresiasi-insan-pendukung-keberhasilan-asian-games-2018.jpg","Kementerian PUPR apresiasi insan pendukung keberhasilan Asian Games 2018","https://www.merdeka.com/uang/kementerian-pupr-apresiasi-insan-pendukung-keberhasilan-asian-games-2018.html","Kementerian PUPR apresiasi insan pendukung keberhasilan Asian Games 2018","https://www.merdeka.com/uang/kementerian-pupr-apresiasi-insan-pendukung-keberhasilan-asian-games-2018.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/10/1009225/140x70/kadin-ntb-buka-toko-bahan-bangunan-permudah-masyarakat-bangun-rumah-pasca-gempa.jpg","Kadin NTB buka toko bahan bangunan permudah masyarakat bangun rumah pasca gempa","https://www.merdeka.com/uang/kadin-ntb-buka-toko-bahan-bangunan-permudah-masyarakat-bangun-rumah-pasca-gempa.html","Kadin NTB buka toko bahan bangunan permudah masyarakat bangun rumah pasca gempa","https://www.merdeka.com/uang/kadin-ntb-buka-toko-bahan-bangunan-permudah-masyarakat-bangun-rumah-pasca-gempa.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/10/1009205/140x70/jurus-pupr-kebut-pembangunan-rumah-korban-gempa-tanpa-libatkan-kontraktor.jpeg","Jurus PUPR kebut pembangunan rumah korban gempa tanpa libatkan kontraktor","https://www.merdeka.com/uang/jurus-pupr-kebut-pembangunan-rumah-korban-gempa-tanpa-libatkan-kontraktor.html","Jurus PUPR kebut pembangunan rumah korban gempa tanpa libatkan kontraktor","https://www.merdeka.com/uang/jurus-pupr-kebut-pembangunan-rumah-korban-gempa-tanpa-libatkan-kontraktor.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/09/1009013/140x70/menteri-basuki-manfaatkan-teknologi-hidrologi-perbaiki-irigasi-ri.jpeg","Menteri Basuki manfaatkan teknologi hidrologi perbaiki irigasi RI","https://www.merdeka.com/uang/menteri-basuki-manfaatkan-teknologi-hidrologi-perbaiki-irigasi-ri.html","Menteri Basuki manfaatkan teknologi hidrologi perbaiki irigasi RI","https://www.merdeka.com/uang/menteri-basuki-manfaatkan-teknologi-hidrologi-perbaiki-irigasi-ri.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/08/1008889/140x70/menteri-basuki-ingin-indonesia-contek-korea-selatan-dalam-manajemen-sumber-daya-air.jpg","Menteri Basuki siap contek Korea Selatan dalam manajemen Sumber Daya Air","https://www.merdeka.com/uang/menteri-basuki-ingin-indonesia-contek-korea-selatan-dalam-manajemen-sumber-daya-air.html","Menteri Basuki siap contek Korea Selatan dalam manajemen Sumber Daya Air","https://www.merdeka.com/uang/menteri-basuki-ingin-indonesia-contek-korea-selatan-dalam-manajemen-sumber-daya-air.html","Sekitar 4 Bulan yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/index7/","https://cdns.klimg.com/merdeka.com/i/w/news/2018/09/08/1008879/140x70/menteri-basuki-ingin-ahli-teknik-hidraulik-buat-inovasi-sumber-daya-air.jpg","Menteri Basuki ingin ahli teknik hidraulik buat inovasi sumber daya air","https://www.merdeka.com/uang/menteri-basuki-ingin-ahli-teknik-hidraulik-buat-inovasi-sumber-daya-air.html","Menteri Basuki ingin ahli teknik hidraulik buat inovasi sumber daya air","https://www.merdeka.com/uang/menteri-basuki-ingin-ahli-teknik-hidraulik-buat-inovasi-sumber-daya-air.html","Sekitar 4 Bulan yang lalu"
