,newstitle
375,"PT NKE Didakwa Rugikan Keuangan Negara Rp25,9 Miliar"
376,53 Proyek Berpotensi Dicoret dari Proyek Strategis Nasional
377,PTPP Tawarkan Delapan Proyek Infrastruktur dalam Forum IMF-WB
378,KPK Usut Aset Adik Zulkifli Hasan Terkait Suap Proyek Lamsel
379,KPK Periksa Bos 9 Naga Emas soal Kasus Suap Adik Ketua MPR
380,Jurkam Jokowi Sebut Hajatan IMF di Bali Usulan Rezim SBY
381,BNPB: Air Bersih Dijatah untuk Warga Korban Gempa Palu
382,Kemkeu Buat Badan Baru Tampung Dana Pembangunan Berkelanjutan
383,"Mobil Terbakar di Tol Cipali, Anies Baswedan Urus Jenazah"
384,"Bank Dunia akan Kucurkan Utang Rp13,86 T untuk Enam Proyek RI"
385,Palu dan Donggala Diproyeksikan Pulih dalam 2 Tahun
386,'Harta Karun' di Balik Pertemuan IMF-World Bank di Bali
387,"Besok, JK Kunjungi Korban Gempa Palu"
388,KPK Dikabarkan OTT di Pasuruan
389,"Jembatan Kuning, 'Warisan' SBY yang Kini Tergerus Tsunami"
390,BPJT: Integrasi Tarif JORR Bisa Tekan Income Pengusaha Tol
391,Pemerintah Bentuk Pusat Logistik Peralatan Penanganan Gempa
392,Jokowi Kembali Tengok Korban Gempa-Tsunami Sulteng Hari Ini
393,"Tak Dapat Proyek, 30 Kontraktor Asing Tutup"
394,Pemerintah Susun Inpres Penanganan Gempa-Tsunami Sulteng
395,"Gempa Palu, PUPR Minta Kontraktor Bantu Mobilisasi Alat Berat"
396,"Gempa Palu, Nilai Bangunan yang Diasuransikan Rp2,3 Triliun"
397,Jokowi soal Bencana Nasional: Yang Penting Penanganan Cepat
398,"Rurang Mural, Solusi Bali Mempercantik Gang di Perkotaan"
399,Sri Mulyani Cairkan Rp560 M untuk Gempa Donggala dan Palu
400,Ironi Negara Maritim Kesulitan Deteksi Tsunami
401,"Warga Demo Korem, Minta Bantuan Dikirim ke Tenda Pengungsian"
402,Kementerian PUPR Kirim Alat Berat dan Sanitasi ke Palu
403,Persiapan Asian Para Games 2018 di GBK Tertahan
404,"Terima Suap, Bupati Halmahera Timur Divonis 4,5 Tahun Penjara"
405,PII Fokus Penjaminan Proyek Jalan dan Perhubungan Tahun Depan
406,"Penyatuan Tarif Tol JORR, Bintaro-Pondok Aren Tetap Rp3 Ribu"
407,"Kementerian PUPR Cari 1000 CPNS, 10% Jatah Bagi Cum Laude"
408,"Cegah Kecelakaan, PUPR Uji Sertifikasi Operator Alat Berat"
409,Pemerintah Undang Masuk Investor Spanyol Bidang Infrastruktur
410,Kemenpar Akan Gelar Rakornas Investasi Pariwisata
411,Cerita dari Perbatasan: Tembang Via Vallen di Batas Negara
412,Underpass Simpang Tugu Ngurah Rai Bali Resmi Dibuka
413,Tarif Toll JORR Jauh Dekat Rp15 Ribu Berlaku 29 September
414,Tarif Tol JORR Jauh Dekat Rp15 Ribu Tak Berlaku Besok
415,Jokowi Bentuk Tim Peningkatan Penggunaan Produksi Domestik
416,India dan Nepal Disebut 'Kepincut' Program Dana Desa Jokowi
417,Daftar Kementerian yang Paling Banyak Diincar dalam CPNS
418,Korban Lumpur Lapindo Sebut Ada Oknum BPLS Minta Imbalan
419,Konstruksi Jalan Jayapura-Wamena Rampung Akhir 2018
420,"Pascagempa, Pariwisata NTB Dipastikan Segera Pulih"
421,Menteri PUPR Jamin Tak Ada Kenaikan 'Terselubung' Tarif Tol
422,Duit Suap 'Ketuk Palu' RAPBD Jambi dari Zumi Zola Pakai Kode
423,"Tol JORR 2 Beroperasi 2019, Distribusi Diklaim Lebih Lancar"
424,"Akhir September, Pengintegrasian tarif Tol JORR Diberlakukan"
425,Darmin Sebut Penundaan Proyek Strategis Bergantung Kebutuhan
426,DKI dan Kemenhub Terbanyak Pekerjakan PNS Terpidana Korupsi
427,"Soal Alih Fungsi Wisma Atlet, Anies Duduk Bersama Kementerian"
428,BNPB Sebut Total Kerugian Gempa Lombok Capai Rp12 Triliun
429,Proyek Strategis yang Sedot Banyak Impor Ditunda Tiga Tahun
430,Warga Bukit Duri Gusuran Ahok Kembali Digugat
431,Kementerian PUPR Bangun 134 Jembatan Gantung di Tahun Ini
432,#PesonaAsianParaGames2018 Makin Meriahkan Kirab Obor
433,"Kementerian PUPR Dapat Tambahan Anggaran Rp8,71 Triliun"
434,Zumi Zola Akui Terima Uang untuk Umrah dan Pemenangan Adiknya
435,"Zumi Disebut Minta Kepala Dinasnya Total, Royal, dan Loyal"
436,PUPR Rampungkan 26 Proyek Strategis Nasional Akhir Tahun Ini
437,"Kekeringan, Bendungan Jatigede Tetap Suplai Air Irigasi"
438,Proyek Infrastruktur yang Dibiayai APBN Tak Akan Ditunda
439,Anies Godok Alih Fungsi Wisma Atlet Kemayoran Jadi Rusun
440,"Mengenal RISHA, Teknologi Rumah Tahan Gempa"
441,Jokowi Ingin Rumah Korban Gempa Berdiri Sebelum Musim Hujan
442,Pemerintah Alokasikan Rp210 M untuk Bonus Atlet Asian Games
443,Jokowi Pilih Sambangi Lombok saat Penutupan Asian Games 2018
444,Bantuan Tahap Pertama Korban Rumah Gempa Lombok Rp10 Juta
445,Rehabilitasi NTB Akibat Gempa Lombok Bakal Dipercepat
446,Pinjaman Bank Infrastruktur Asia Bakal Mengalir ke Swasta
447,40 Tempat Parkir Disediakan untuk Penutupan Asian Games 2018
448,Pemerintah Cuma Beri Rumah Tanpa Tanah Pemenang Asian Games
449,"Bank Infrastruktur Asia Beri RI Jatah Pinjaman Rp14,6 Triliun"
450,"Lihat Rekam Jejak Aljazair, Namibia Tunjuk WIKA Bangun Rumah"
451,Azis Syamsuddin Bantah Suap Dana Perimbangan Mengalir ke DPR
452,BNPB Klaim 12 Ribu Korban Gempa Lombok Terima Dana Stimulan
453,Pemerintah Cari Mahasiswa Teknik untuk Bangun Rumah Warga NTB
454,"Kasus Suap, KPK Cecar Adik Hatta Rajasa soal Kerja Komisi XI"
455,Inpres Jokowi Kerahkan 19 Menteri Rehabilitasi Lombok
456,Dahaga para Korban Gempa Lombok akan Air Bersih
457,Masa Keemasan Emiten Konstruksi Memudar
458,Sri Mulyani Cairkan Hampir Rp1 Triliun untuk Gempa Lombok
459,PUPR Sebut Korban Gempa Lombok Dapat Penangguhan Cicilan KPR
460,KPK Periksa Proses Penganggaran Dana Perimbangan 11 Daerah
461,Tarif Akses Pelabuhan Darat Cikarang Berlaku Mulai 28 Agustus
462,"Sampai Agustus, Program Satu Juta Rumah Baru 58 Persen"
463,Romahurmuziy Dicecar Penyidik KPK soal Tupoksi Pengurus PPP
464,KPK Buka Peluang Usut Dugaan Pencucian Uang Zumi Zola
465,"Zumi Zola Didakwa Suap 'Ketok Palu' DPRD Jambi Rp16,4 Miliar"
466,Romahurmuziy Diperiksa KPK Jadi Saksi Kasus Mafia Anggaran
467,PPP Sebut Romahurmuziy Siap Diperiksa KPK Siang Ini
468,Zumi Zola Jalani Sidang Perdana di Pengadilan Tipikor Jakarta
469,"Program Tol Laut Layak Dipertahankan, Meski Perlu Evaluasi"
470,KPK Kembali Panggil Romahurmuziy Sebagai Saksi Kasus Suap
471,BNPB Pastikan Inpres Penanganan Gemba Lombok Terbit Pekan Ini
472,Kemendagri Bantah Tudingan Fahri Hamzah soal Gempa Lombok
473,Pemerintah Akan Bangun Dua KEK Pariwisata di Jawa Barat
474,Pengusaha Ancam Impor Jika RUU Sumber Air Memberatkan
475,"Sidang Suap Zumi Zola Digelar Kamis, 23 Agustus"
476,KPK Minta Ketum PPP Romahurmuziy Hadir Pemeriksaan
477,Jokowi Bakal Terbitkan Inpres Penanganan Gempa Lombok
478,"Romi Mangkir dari KPK, PPP Berdalih Kunjungan ke Jawa Tengah"
479,Penyelesaian Proyek Jembatan Bengawan Solo Dilelang
480,KPK Panggil Ketum PPP Romahurmuziy Kasus Dana Perimbangan
481,PUPR Berencana Lelang 10 Ribu Paket Pekerjaan pada 2019
482,Kementerian PUPR Tuntaskan Tahap I PLBN Entikong
483,"Jokowi Kucurkan Rp97,6 Triliun untuk Jaga Pasokan Pangan 2019"
484,"Anggaran Dipangkas, Kemendikbud Khawatir Kegiatan Terganggu"
485,KPK Tuntut Penyuap Politikus Demokrat 3 Tahun Penjara
486,"Jokowi Tambah Anggaran Infrastruktur 2,4 Persen"
487,"Defisit APBN Juli 2018 Naik Jadi 1,02 Persen dari PDB"
488,"Dalami Suap APBN-P 2018, KPK Periksa Dua Kepala Daerah"
489,PUPR Stop Proyek Kontrak Tahun Jamak Baru
490,Pemerintah Kejar Efisiensi dengan Kebijakan Satu Peta
491,Sri Mulyani Siap Kucurkan Rp4 Triliun untuk Gempa Lombok
492,Aksi Menteri Kawal Jokowi ke KPU Diklaim Dukungan Pribadi
493,Jokowi Beri Tugas Tambahan Infrastruktur untuk PUPR
494,PUPR Mulai Lelang Proyek Tahun Depan di November 2018
495,Pemerintah Kucurkan Rp10 Miliar Benahi Infrastruktur Lombok
496,Mataram Bentuk Tim Investigasi Gedung Sekolah Pasca Gempa
497,"Revaluasi Rampung Tahun Ini, Nilai Aset Negara Bakal Melesat"
498,"Berkas Lengkap, Zumi Zola Segera Diadili di Jakarta"
499,Makanan dan Selimut Jadi Kebutuhan Utama Pengungsi Gempa NTB
500,Luhut Klaim Persiapan Forum IMF-World Bank Sudah 85 Persen
501,"Buktikan Tak Ada Bau, JK Ajak Anies Makan Pisang di Kali Item"
502,Jokowi Akui Bundaran HI Lebih Sedap Dipandang Tanpa JPO
503,Anies Sebut Jokowi Penasaran Pelican Crossing
504,"Jajal Pelican Crossing, Jokowi Acungkan Jempol untuk Anies"
505,Penerbangan Kuala Lumpur-Silangit Hanya Rp100 Ribu
506,"Ditutup di Area 6.011, IHSG dan Rupiah Kompak Melemah"
507,"Minim Bahan Impor, Menteri Basuki Yakin Proyek PUPR Aman"
508,Pemprov DKI Bongkar Tiang yang Halangi Jalur Sepeda
509,"Tahun Depan, Pemerintah Bangun Lima Pasar Induk"
510,"KPK Sita Uang Rp1,4 Miliar di Rumah Politisi PPP terkait Suap"
511,Pemerintah Bangun Lima Bendungan Baru di NTB
512,Pemprov DKI Sebut Kali Item Sudah Bau Sebelum Zaman Anies
513,Ratusan Prajurit Kopassus Ikut Evakuasi Pendaki Rinjani
514,PUPR Pastikan Tak Ada Infrastruktur Rusak Usai Gempa Lombok
515,"Resmikan Bendungan Tanju, Jokowi Harap Panen di NTB Berlipat"
516,Jokowi Akan Beri Bantuan Uang Tunai untuk Korban Gempa NTB
517,Sandiaga Bicarakan IPAL untuk Atasi Kondisi Kali Item
518,KPK Sita Dokumen Keuangan Terkait Suap Adik Ketua MPR
519,TPST Seminyak Ternyata Belum Berizin
520,Sandiaga Klaim Sudah Coba Semua Cara Pulihkan Kali Item
521,KPK Geledah Rumah Pribadi Adik Zulhas Terkait Suap
522,"Status Tersangka, KPK Tahan Bupati Lampung Selatan"
523,KPK Duga Bupati Lamsel Atur Proyek di Lampung Selatan
524,Kronologi OTT KPK Terhadap Bupati Lampung Selatan
525,"Bantah Bikin Rumit, Stafsus PUPR Ingin soal Kali Item 'Clear'"
526,Bupati Lamsel Adik Zulhas Resmi Jadi Tersangka Suap
527,Anies Singgung Stafsus yang Perkeruh Penyelesaian Kali Item
528,Pewangi Akan Disemprotkan ke Kali Item untuk Kurangi Bau
529,"Suap RAPBN, KPK Geledah Rumah Politikus PAN dan Apartemen"
530,"Kali Item Tak Kunjung Jernih, Pemerintah Pusat Turun Tangan"
531,"Semester I, Laba Waskita Karya Melonjak 133 Persen"
532,Anies: Berita Kali Item Tutupi Hal Positif Jelang Asian Games
533,"Progres 74 Persen, Monumen Kapsul Waktu Rampung Oktober"
534,Pemerintah Usul Hapus Poin Keberatan Pengusaha di RUU SDA
535,"RUU Sumber Daya Air, Pengusaha Merasa Terancam"
536,"Lawan Kejahatan Transnasional, RI-PNG Perkuat Tata Perbatasan"
537,Menteri PUPR Larang BUMN Garap Proyek di Bawah Rp100 Miliar
538,KPK Paparkan Kronologi Tangkap Tangan Bupati Labuhanbatu
539,Bekas Model Steffy Terima Aliran Uang dari Gubernur Aceh
540,Belanja Barang Jadi Sasaran Efisiensi Anggaran 2019
541,Bisnis Air Mineral Kemasan Akan Diperketat
542,Rumah DP Nol Rupiah Disebut Akan Dijual Online Akhir Agustus
543,"Pangonal Harahap, Bupati Labuhanbatu Pengkritik Sukmawati"
544,"Kasus Irwandi Yusuf, Model Steffy Burase Penuhi Panggilan KPK"
545,Bupati Labuhanbatu Korban OTT KPK Punya 30 Bidang Tanah
546,"Tarik Uang, Bupati Labuhanbatu Dibekuk KPK di Bandara Soetta"
547,"OTT Bupati Labuhanbatu, KPK Sita Bukti Transaksi Ratusan Juta"
548,KPK Blokir Rekening Gubernur Aceh Terkait Suap Dana Otsus
549,Keluarga Lalu Zohri Tak Pernah Menolak Renovasi Rumah
550,Jokowi Resmikan Tol Solo-Ngawi Ruas Kartasura-Sragen
551,Geng Jambret 'Bad Boy' Jakarta Utara Incar Pasangan Pacaran
552,Menteri LHK: Freeport Masih Konsultasi Pengolahan Limbah
553,Lalu Muhammad Zohri Dapat Satu Slot CPNS
554,Fotografer yang Tertiban Skuat Kroasia Biasa Liput Perang
555,Presiden Joko Widodo Renovasi Rumah Muhammad Zohri
556,Tim Kementerian PUPR Langsung Tinjau Rumah Lalu Zohri
557,Rekor 'Manusia Tercepat Asia Tenggara' dalam Ancaman Zohri
558,"Jelang Final, Kroasia Punya Skuat Lebih Sukses dari Prancis"
559,Marcelo Diklaim Bakal Susul Ronaldo ke Juventus
560,Jokowi Instruksikan Menteri PUPR Renovasi Rumah Lalu Zohri
561,Wacana Bonus Naik Haji Bagi Atlet Berprestasi di Asian Games
562,Pemerintah Beri Bantuan Kredit Murah untuk Rumah Penginapan
563,"Marak Begal Motor, Pelaku Tak Segan Lepas Tembakan"
564,Pemerintah Tetapkan Tarif Tol Gempol-Pasuruan
565,KPK Telusuri Aliran Suap Irwandi ke Mantan Model Asal Manado
566,Penjambret di Cempaka Putih Serahkan Diri ke Polisi
567,KPK Geledah Rumah Gubernur Aceh Irwandi Yusuf
568,Sandi soal Jambret Marak: Jangan Main Gadget Saat Naik Motor
569,"Geng Oranye, Kelompok Penjahat yang Menjambret Dirjen PUPR"
570,"Kejahatan Jalanan, Kecerdikan Pelaku dan Kelengahan Aparat"
571,"Tersangka KPK Menang Pilbup Tulunggagung, Kasus Tetap Diusut"
572,"Belanja Infrastruktur Capai Rp 30,38 Triliun"
573,"Kementerian PUPR Lelang Proyek Jalan Senilai Rp2,20 Triliun"
574,"Pagu Indikatif Belanja K/L Dihemat Rp8,8 Triliun pada 2019"
575,Polda Metro Jaya Antisipasi Jambret Jelang Asian Games
576,Kapolda Metro Jaya Perintahkan Tembak Mati Begal dan Jambret
577,Polda Metro Jaya Gelar Operasi Khusus Memburu Jambret
578,"267 Proyek Jalan dan Bendungan Dibiayai Sukuk Rp13,73 Triliun"
579,KPK Tetapkan Bos PT Sharleen Raya Tersangka Suap Proyek PUPR
580,Triliunan Uang Negara Nganggur dan Seretnya Laju Ekonomi RI
581,Polisi Tembak Mati Penjambret Dirjen Bina Konstruksi PUP
582,Pemerintah Targetkan Bendungan Gondang Rampung Akhir 2018
583,"Hingga Akhir Tahun, 9 Ruas Tol Trans Jawa Bakal Diresmikan"
584,"Jelang Asian Games, Masih Ada Venue yang Belum Rampung"
585,Kementerian Kesehatan Serap Belanja Paling Tinggi
586,"Jelang Asian Games, Jokowi Tinjau Gelora Bung Karno"
587,Salah Momen Integrasi Tarif Tol JORR
588,"Penyatuan Tarif Tol JORR, PUPR Kaji Diskon untuk Jarak Dekat"
589,"PUPR: Hitung-hitungan Tarif Tol JORR, Jauh-Dekat Rp15 Ribu"
590,"Bandingkan Tragedi 'Brexit', JK Klaim Mudik 2018 Lebih Baik"
591,"Polemik Tarif Integrasi JORR, PUPR Bantah Fadli Zon"
592,Darmin: Kenaikan Tarif Tol JORR Terlalu Banyak Dikomentari
593,Polling: Mayoritas Pengendara Ogah Pakai Tol JORR Satu Tarif
594,Pemerintah Kembali Tunda Kenaikan Tarif Tol JORR
595,Fadli Zon: Kenaikan Tarif Tol JORR Hanya Memeras Rakyat
596,Ribuan Kendaraan Pemudik Berangsur Balik ke Jakarta
597,'Rest Area' di Ruas Tol Fungsional Batang-Pemalang Ditambah
598,ALI: Satu Tarif Tol JORR Tak Ampuh Pangkas Biaya Logistik
599,Pro Kontra Penyatuan Tarif Tol JORR
600,Menteri Siti Temukan Sampah oleh Pemudik di Tol
601,Menhub Sebut Jembatan Kali Kuto Dibuka Fungsional Sore Ini
602,Satu Tarif Tol JORR Urung Terlaksana Hari Ini
603,PUPR Gandeng Lemsaneg Awasi Program FLPP
604,Tarif Tol Medan-Tebing Tinggi Seksi I Gratis Sampai 22 Juni
605,Kapolda Larang Mobil Reyot Melintas di Jalur Kenteng
606,"Jalur Kenteng Macet Parah, Sistem Buka-Tutup Diterapkan"
607,Guns N' Roses Bakal Tampil di Stadion GBK November 2018
608,"PUPR Butuh Rp138,3 Triliun Bangun Infrastruktur 2019"
609,Trans Papua Barat Segera Diresmikan
610,"Tol Trans Sumatera Gratis, Pemudik Padati Jalur Bakauheni"
611,PDIP Anggap Janggal OTT Wali Kota Blitar oleh KPK
612,"Tersangka Suap, Eks Bupati Tulungagung Serahkan diri ke KPK"
613,Jalur Mudik Alternatif dari Banten ke Surabaya
614,KPK Geledah Rumah Bupati Tulungagung Nonaktif Syahri Mulyo
615,Wali Kota Blitar Samanhudi Anwar Resmi Ditahan KPK
616,"Besok, Tol Semarang Berlakukan Satu Tarif"
617,KPK Minta Wali Kota Blitar-Bupati Tulungagung Serahkan Diri
618,"Kronologi Bupati Halmahera Timur Terima Suap Rp6,3 Miliar"
619,Pemerintah Gratiskan Pintu Tol Brexit Sampai Lebaran
620,Tol Fungsional Solo-Ngawi Layak Digunakan Pemudik
621,BUJT Akui Dampak Pemberian Diskon Terhadap Pendapatan
622,Realisasi Diskon 10 Persen Ruas Tol Bergantung Kebijakan BUJT
623,KPK Periksa Wabup Terkait Suap Bupati Bengkulu Selatan
624,Zumi Zola Disebut Ajukan Diri Jadi Justice Collaborator
625,PUPR Terbitkan Surat Edaran BUMN Tak Garap Proyek Rp100 M
626,"Fungsional Saat Lebaran, Tol Pemalang- Batang Masih Gelap"
627,Jalur Mudik di Pantura Belum 100 Persen Siap
628,Jasa Marga akan Terapkan Sistem Satu Tarif untuk Tol Semarang
629,Proyek Jalan Lintas Timur Sumatra Dibidik Jalan Maret 2019
630,Jadwal dan Tarif Kereta Api Bandara Minangkabau
631,YLKI Minta Tempat Peristirahatan di Jalan Tol Diaudit
632,Pemerintah Setop Pengerjaan Jalan 10 Hari Sebelum Lebaran
633,KPK Geledah Sejumlah Lokasi Terkait Bupati Bengkulu Selatan
634,"Mudik Jakarta-Surabaya via Tol, Siapkan Rp344 Ribu di e-Toll"
635,"Pekan Depan, Komite Tetapkan Calon Komisioner BP Tapera"
636,Tarif Tol Bakal Diskon saat Mudik Lebaran 2018
637,Jokowi Soal Diskon Tarif Tol Mudik: Itu Urusan Operator
638,KPK Perpanjang Masa Penahanan Bupati Halmahera Timur
639,Sekolah dan Karyawan Tidak Libur Saat Asian Games 2018
640,"Selain Emas 1,9 Kg, KPK Sita Jeep Rubicon Bawahan Sri Mulyani"
641,Kronologi OTT Anggota DPR Amin Santono oleh KPK
642,PUPR Klaim Jumlah TKA Sektor Konstruksi Hanya 2 Ribu
643,KPK Tetapkan Bupati Mojokerto Tersangka Dua Kasus Gratifikasi
644,"Pembiayaan Proyek Infrastruktur Non-APBN Capai Rp55,6 Triliun"
645,Jokowi Soal Rupiah Nyaris Rp14 Ribu: Semua Mata Uang Melemah
646,Belanja Infrastruktur PUPR Baru 14 Persen dari Target 2018
647,"Kebut Asian Games, Sandi Ingin Jakpro Tambah Jam Kerja"
648,"Temani JK Tinjau Venue Asian Games, Sandi Telat Datang"
649,VIDEO: Mengintip Rusun Khusus Lansia
650,VIDEO: Jokowi Ledek Menteri Susi Ingin Jadi Wapres
651,Jokowi Sindir Menteri Susi Ingin Jadi Cawapres
652,Jokowi Minta Perencanaan Renovasi Banjarnegara Kelar Sebulan
653,Senyum Jokowi dan Tak Ingin Direcoki Elektabilitas Tinggi
654,Jembatan di Pantura akan Diaudit Sebelum Mudik Lebaran
655,Perbaikan Jembatan Widang Diperkirakan Rampung Sebelum Mudik
656,"Anggaran Gedung DPR Belum Cair, Fahri Sindir Pertemuan IMF"
657,Pemerintah Restui KPR FLPP untuk Program DP Rp0 Anies-Sandi
658,Polisi Selidiki Dugaan Kelalaian dalam Roboh Jembatan Widang
659,Basuki Dapat 'Lampu Hijau' Ganti 8 Proyek Bendungan Jokowi
660,"Jembatan Widang Ambruk, Menhub Siapkan Rekayasa Lalu Lintas"
661,Pemerintah Tambah Cuti Bersama Lebaran Jadi Delapan Hari
662,PUPR Pastikan Jembatan Widang Beroperasi Sebelum Lebaran
663,THR PNS Diharapkan Cair Dua Pekan Jelang Lebaran
664,Evakuasi Truk di Jembatan Tuban-Lamongan Gunakan Crane
665,VIDEO: Proses Evakuasi Korban Ambruknya Jembatan Tumaluntung
666,"Jembatan Widang Ambruk, Kerugian Materiil Capai Rp40 Miliar"
667,BPS: Upah Buruh Tani Naik Jadi Rp51.598 per Hari per Orang
668,Tol Brebes Timur-Semarang Bisa Dilintasi Saat Mudik Lebaran
669,"Jokowi Instruksikan Bangun 1,5 Juta Rumah ASN, TNI, dan Polri"
670,"Proyek Tanggul Laut Jakarta 4,5 Km Rampung Agustus 2018"
671,Mendes Klaim 15 Ribu Desa Tertinggal Sudah 'Naik Kelas'
672,Venue Menembak Belum Ditentukan Jelang Asian Para Games
673,"Bedah Rumah Masyarakat, PUPR Rogoh Rp3,2 Triliun"
674,"Anggaran DPR Rp7,7 Triliun Banyak Dihabiskan Buat Gedung Baru"
675,"Penuhi Panggilan KPK, Zumi Bungkam pada Wartawan"
676,Menteri Rini akan Buka Jalur Transportasi di Ciliwung
677,Genjot Pajak Demi Bayar Utang Negara
678,Bulan Ini Giliran Petinggi Wijaya Karya dan PTPP Diganti
679,Perusahaan Tekstil Pembuang Limbah Citarum Segera Diadili
680,Bendungan Jatibarang jadi Contoh Pembangkit Listrik Surya
681,"Kemenkeu Kaji Tambahan Anggaran Asian Games 2018 Rp1,1 T"
682,Jokowi Ungkap Alasan BUMN 'Ogah' Garap Proyek Bareng Daerah
683,Proyek Citarum Jokowi 'Sedot' Utang Jepang Rp390 Miliar
684,Proyek Mega Cita Citarum yang 'Mangkrak' di Era SBY
685,"Jadi Akses Barang ke Jakarta, Pelabuhan Ratu Berfungsi 2019"
686,KPK Kembali Panggil Zumi Zola Pekan Ini
687,BPK 'Cium' Permasalahan dalam Penetapan Tarif Tol
688,"Jamin Pasokan Air Saat Asian Games, Pemerintah Tuntaskan SPAM"
689,Pemerintah Pangkas Tarif Truk yang Melintasi 39 Ruas Tol
690,Jonan Harap Studi Pembangkit Listrik Arus Laut Segera Rampung
691,Jokowi Ingin Tarif Tol Turun untuk Kendaraan Logistik Saja
692,PDIP Sindir Partai Baru yang Usulkan Cawapres untuk Jokowi
693,Investor Minta Penurunan Tarif Tak Ganggu Bisnis Jalan Tol
694,"Konsesi Tol Diperpanjang, Pemerintah Siapkan Skema Bantuan"
695,Dua Menteri Ekonomi Bahas Dua Skema Penurunan Tarif Tol
696,"Lelang Paket Pekerjaan Kementerian PUPR Baru 60,9 Persen"
697,Komisioner BP Tapera 'Haram' dari Partai Politik
698,"Pulau Mules, Surga Surfing dan Selam di Kabupaten Manggarai"
699,PSI Usulkan AHY untuk Jabat Menteri Pertahanan
700,"Tarif Tol Turun, Pengawasan Kendaraan Berat Diperketat"
701,Jokowi: Tarif Tol Turun Akhir Bulan
702,"Tarif Tol Turun, Pemerintah Akan Kasih Keringanan Pajak BUJT"
703,"Beroperasi 2019, BP Tapera Tampung Aset Bapertarum PNS Rp12 T"
704,Pemerintah Urung Lebur Asabri dengan Bapertarum PNS
705,"Bapertarum PNS Berakhir, Seleksi Komisioner BP Tapera Dimulai"
706,Tarif Tol Bakal Turun Sebelum Lebaran
707,BUMN Karya Tak Akan Sentuh Proyek Kurang Dari Rp100 Miliar
708,Kewajiban Tambah Direktur Keselamatan Hanya untuk Waskita
709,Empat Direksi Waskita Akan 'Dipecat' Terkait Kecelakaan Kerja
710,"Terima Suap Proyek Jalan, Politikus PKS Divonis 9 Tahun"
711,"Kecelakaan Kerja, Izin Usaha Waskita Berpotensi Dibekukan"
712,Menteri PUPR Mengaku Pernah Kena Denda Pajak Rp80 Juta
713,"Penjualan Sukuk Ritel Tahun Ini Melempem Cuma Rp8,43 Triliun"
714,Niat Meriung Tarminah Berujung Maut di Pasar Rumput
715,Kementerian PUPR Bentuk Satgas Awasi Pembangunan Rumah
716,"Air Tanah, Anies dan Derita 'Karat Besi' Warga Kalideres"
717,Direksi BUMN Karya yang Dicopot Terancam Masuk Daftar Hitam
718,PUPR Minta Anies Bebaskan Bidara Cina Demi Sodetan Ciliwung
719,Pemenuhan Kebutuhan Air Jakarta dari PAM Jaya Masih 60 Persen
720,Menteri Basuki Minta Rini Segera Ganti Direksi Waskita
721,Menteri Basuki Usul Direksi BUMN Karya Kena Sanksi
722,Trans Siap Bangun The Trans Icon Rp2 Triliun di Surabaya
723,"Merasa Tertipu, Puluhan Konsumen Sipoa Grup Mengadu ke DPR"
724,"Wisata Musik, Potensi yang Diabaikan"
725,"Dugaan Korupsi Underpass Bandara, Waskita Janji Kooperatif"
726,Ruas Tol Salatiga-Kartasura Ditarget Layani Arus Mudik 2018
727,Polisi Ciduk Dua Jurnalis Diduga Cemarkan Nama Kapolda Sumut
728,Batam Bakal Bangun LRT Senilai Rp13 Triliun
729,Jokowi Tagih Detail Progres Persiapan Asian Games
730,Kementerian PUPR Studi Kelayakan Proyek Jembatan Batam-Bintan
731,Rumah Sengketa Halangi Proyek Tol Semarang-Batang
732,"Usai Evaluasi, Kemenhub Berambisi Akselerasi Proyek Elevated"
733,"Usai Waskita, Menteri BUMN Pastikan Copot BUMN Karya Lainnya"
734,Dua Proyek Preservasi Jalan Nasional Ditawarkan Berskema KPBU
735,Kementerian PUPR: 38 Proyek Jalan Layang Lolos Hasil Evaluasi
736,Pemerintah Kebut Proyek Jalan Paralel Perbatasan Kalbar
737,"Sanksi Kecelakaan Kerja, Direksi Waskita Karya Bakal Dicopot"
738,Jalan Trans Papua Barat Sepanjang 1.070 KM Resmi Tersambung
739,Bau Tak Sedap Sungai Dekat Wisma Atlet Jadi Fokus Pemprov DKI
740,"Dapat Tugas dari Jokowi, Anies Sebut 2018 Tahun Kerja"
741,Rini Bakal Ungkap Hasil Evaluasi Direksi BUMN Karya saat RUPS
742,"Raih Peluang, Saham Konstruksi Bisa Jadi 'Menu' Pekan Ini"
743,DPR Nilai Moratorium Proyek Infrastruktur Telat Dilakukan
744,"Jadi BP Tapera, Kemenkeu Jamin Saldo Bapertarum PNS"
745,Marga Mandala Klaim Penugasan Tol Merak ke Pelabuhan
746,Cerita Pekerja Proyek Infrastruktur yang Digenjot
747,"Usai Proyek Elevated, PUPR Evaluasi 32 Proyek Jalan Tol"
748,Asabri Bantah Peleburan dengan Bapertarum PNS jadi BP Tapera
749,Tol Jakarta-Cikampek Terapkan Ganjil-Genap Mulai 12 Maret
750,"Bentuk BP Tapera, Pemerintah Lebur Bapertarum PNS dan Asabri"
751,Sri Mulyani: Moratorium Proyek Baik untuk Jangka Panjang
752,Politikus PKS Yudi Widiana Dituntut 10 Tahun Penjara
753,DPR : Pengawasan SOP Proyek Jalan Layang Mendesak
