,date,media,newstitle
184,"[<div class=""article__date"">14/08/2018, 15:30 WIB</div>]",Kompascom,"2019, ""Backlog"" Rumah Ditargetkan Turun Jadi 5,4 Juta"
185,"[<div class=""article__date"">14/08/2018, 15:00 WIB</div>]",Kompascom,BTN Optimistis KPR Subsidi Terserap 100 Persen
186,"[<div class=""article__date"">14/08/2018, 12:11 WIB</div>]",Kompascom,Bank Penyalur KPR Subsidi Terancam Dicoret jika Kinerjanya Jelek
187,"[<div class=""article__date"">11/08/2018, 14:00 WIB</div>]",Kompascom,"Asing Masuk, Penyalur KPR Subsidi Jadi 43 Bank"
188,"[<div class=""article__date"">11/08/2018, 13:00 WIB</div>]",Kompascom,"Resmi, Pemerintah Pangkas Porsi Pembiayaan Rumah Subsidi"
189,"[<div class=""article__date"">10/08/2018, 22:00 WIB</div>]",Kompascom,Lelang Dini Proyek Infrastruktur 2019 Dimulai Oktober
190,"[<div class=""article__date"">10/08/2018, 19:30 WIB</div>]",Kompascom,Kementerian PUPR Pasok Air Bersih untuk Korban Gempa Lombok
191,"[<div class=""article__date"">10/08/2018, 18:37 WIB</div>]",Kompascom,"Ada Tugas Baru, Kementerian PUPR Siapkan Anggaran Rp 6,6 Triliun"
192,"[<div class=""article__date"">08/08/2018, 19:15 WIB</div>]",Kompascom,"Tak Ada Penundaan Infrastruktur, Pemerintah Tetap Lakukan Efisiensi"
193,"[<div class=""article__date"">08/08/2018, 14:42 WIB</div>]",Kompascom,"Ada Defisit, Proyek Infrastruktur Kementerian PUPR Jalan Terus"
194,"[<div class=""article__date"">08/08/2018, 10:00 WIB</div>]",Kompascom,Menteri Basuki Minta Serapan Anggaran Merata hingga Akhir Tahun
195,"[<div class=""article__date"">01/08/2018, 09:41 WIB</div>]",Kompascom,Kementerian PUPR Klaim Penggunaan Komponen Impor Rendah
196,"[<div class=""article__date"">31/07/2018, 16:49 WIB</div>]",Kompascom,Rumah di Lombok Bakal Dirancang Tahan Gempa
197,"[<div class=""article__date"">30/07/2018, 11:00 WIB</div>]",Kompascom,Menteri Basuki Akan Pindahkan Tiang yang Halangi Jalur Sepeda 
198,"[<div class=""article__date"">29/07/2018, 20:00 WIB</div>]",Kompascom,Kementerian PUPR Akan Perbaiki Jalur Sepeda di Trotoar yang Terhalang Tiang
199,"[<div class=""article__date"">27/07/2018, 21:02 WIB</div>]",Kompascom,Kementerian PUPR Terjunkan Tim Identifikasi Dampak Gempa Lombok
200,"[<div class=""article__date"">27/07/2018, 16:36 WIB</div>]",Kompascom,Kementerian PUPR Buka Pusat Pendidikan Pengolahan Sampah di Bali
201,"[<div class=""article__date"">27/07/2018, 14:47 WIB</div>]",Kompascom,KPK Tetapkan Bupati dan Kepala Dinas PUPR Lampung Selatan sebagai Tersangka
202,"[<div class=""article__date"">26/07/2018, 16:00 WIB</div>]",Kompascom,"Beda Hasil, Penataan Trotoar Kementerian PUPR, MRT dan Pemprov DKI"
203,"[<div class=""article__date"">25/07/2018, 16:04 WIB</div>]",Kompascom,"Soal Kali Item, Anies Minta Staf Khusus Tak Ganggu dengan Opini"
204,"[<div class=""article__date"">24/07/2018, 22:36 WIB</div>]",Kompascom,"Taman Halangi Halte, Kementerian PUPR: Itu Urusan Pemprov DKI "
205,"[<div class=""article__date"">24/07/2018, 17:00 WIB</div>]",Kompascom,Kementerian PUPR Gelar Sertifikasi Ahli K3
206,"[<div class=""article__date"">23/07/2018, 19:00 WIB</div>]",Kompascom,"Tahun Depan, Sekolah, Rumah Sakit, dan Pasar Diurus Kementerian PUPR"
207,"[<div class=""article__date"">20/07/2018, 19:50 WIB</div>]",Kompascom,Ini Rencana Kementerian PUPR untuk Mudik 2019
208,"[<div class=""article__date"">15/07/2018, 15:00 WIB</div>]",Kompascom,"Soal Kali Item, Pemerintah Pusat Turun Tangan Atasi Aliran Air"
209,"[<div class=""article__date"">14/07/2018, 15:22 WIB</div>]",Kompascom,"Dugaan Pungli ke Pengusaha, 10 ASN Dinas PUPR Garut Diperiksa Kejari"
210,"[<div class=""article__date"">02/07/2018, 18:53 WIB</div>]",Kompascom,Menteri PUPR Pertimbangkan Bangun GT di Kota Solo
211,"[<div class=""article__date"">30/06/2018, 06:34 WIB</div>]",Kompascom,"Atas Perintah Jokowi, Kementerian PUPR Renovasi Rumah Zohri dan Bangun yang Baru"
212,"[<div class=""article__date"">26/06/2018, 06:06 WIB</div>]",Kompascom,KPK Tetapkan Tersangka Baru Kasus Suap Proyek PUPR
213,"[<div class=""article__date"">24/06/2018, 20:19 WIB</div>]",Kompascom,Penangkapan Penjambret Dirjen PUPR Kuak Sindikat Jambret Tenda Oranye
214,"[<div class=""article__date"">24/06/2018, 16:12 WIB</div>]",Kompascom,"Menteri PUPR: Integrasi Tarif Tol JORR Bukan untuk Menambah ""Income"" BUJT"
215,"[<div class=""article__date"">24/06/2018, 13:16 WIB</div>]",Kompascom,Basuki Desak Pemprov DKI Percepat Konstruksi Trotoar Sudirman
216,"[<div class=""article__date"">22/06/2018, 10:34 WIB</div>]",Kompascom,Basuki Pastikan Kualitas Sarana-Prasarana Asian Games 2018
217,"[<div class=""article__date"">18/06/2018, 11:02 WIB</div>]",Kompascom,"Dengan ""Golf Car"", Basuki Cek Kesiapan Sarana-Prasarana Asian Games "
218,"[<div class=""article__date"">13/06/2018, 23:26 WIB</div>]",Kompascom,Pro Kontra Kebijakan Integrasi Jalan Tol JORR
219,"[<div class=""article__date"">11/06/2018, 10:30 WIB</div>]",Kompascom,"Tol Medan-Tebing Tinggi Dibuka Fungsional, Kementerian PUPR Klaim Lalu Lintas Kini Lancar"
220,"[<div class=""article__date"">07/06/2018, 15:23 WIB</div>]",Kompascom,"Soal Kemiringan Jembatan Kali Kenteng, Menteri Basuki Sebut Sepeda Korlantas Saja Bisa Lewat"
221,"[<div class=""article__date"">06/06/2018, 17:26 WIB</div>]",Kompascom,"588 Posko Sapta Taruna dan Informasi ""Online"" Disiagakan untuk Pemudik"
222,"[<div class=""article__date"">06/06/2018, 17:09 WIB</div>]",Kompascom,KPK Segel 2 Ruangan di Dinas PUPR Blitar
223,"[<div class=""article__date"">06/06/2018, 16:55 WIB</div>]",Kompascom,Uang Suap Bupati Halmahera Timur Diduga untuk Rapimnas PDI Perjuangan
224,"[<div class=""article__date"">02/06/2018, 15:52 WIB</div>]",Kompascom,Kolusi Bupati Halmahera Timur di Kementerian PUPR Libatkan Politisi PDI-P
225,"[<div class=""article__date"">18/05/2018, 13:58 WIB</div>]",Kompascom,"Tahun Depan, Kementerian PUPR Usulkan Anggaran Rp 102,01 Triliun "
226,"[<div class=""article__date"">18/05/2018, 11:00 WIB</div>]",Kompascom,Kementerian PUPR Petakan Kawasan RawanLongsor saat Musim Mudik
227,"[<div class=""article__date"">18/05/2018, 09:30 WIB</div>]",Kompascom,Basuki Pastikan Tarif Tol Didiskon 10 Persen Saat Mudik
228,"[<div class=""article__date"">17/05/2018, 14:00 WIB</div>]",Kompascom,"Program Sejuta Rumah, ""Nafsu Besar Uang Kurang"""
229,"[<div class=""article__date"">16/05/2018, 17:32 WIB</div>]",Kompascom,Masjid yang Rusak Saat Gempa Aceh Itu Kini Tegak Kembali
230,"[<div class=""article__date"">16/05/2018, 08:39 WIB</div>]",Kompascom,"Zaman Orba, Menteri Perumahan Rakyat Dijabat Orang Kuat"
231,"[<div class=""article__date"">15/05/2018, 10:09 WIB</div>]",Kompascom,Basuki Buka Suara Soal Percepatan Infrastruktur dan Diskon Tarif Tol
232,"[<div class=""article__date"">14/05/2018, 17:13 WIB</div>]",Kompascom,Berita Populer: Menteri Basuki Diperiksa KPK hingga Krisis Mothercare
233,"[<div class=""article__date"">14/05/2018, 11:21 WIB</div>]",Kompascom,Berita Populer: Bisnis Lotte Ambruk hingga KPK Periksa Basuki
234,"[<div class=""article__date"">14/05/2018, 10:57 WIB</div>]",Kompascom,"Usai Diperiksa KPK, Menteri Basuki Sebut Tak Kenal Bupati Rudi Erawan"
235,"[<div class=""article__date"">12/05/2018, 18:34 WIB</div>]",Kompascom,KPK Periksa 2 Saksi terkait Kasus Suap Dinas PUPR Mojokerto
236,"[<div class=""article__date"">12/05/2018, 13:06 WIB</div>]",Kompascom,"Jadi Saksi Kasus Suap Proyek PUPR, Menteri Basuki Penuhi Panggilan KPK "
237,"[<div class=""article__date"">11/05/2018, 17:41 WIB</div>]",Kompascom,"Komisi V DPR Tuding Pencitraan, Basuki Bilang ""No Comment"""
238,"[<div class=""article__date"">11/05/2018, 13:48 WIB</div>]",Kompascom,Kementerian PUPR Bangun Rumah Susun Sekolah Tenun
239,"[<div class=""article__date"">11/05/2018, 11:07 WIB</div>]",Kompascom,KPK Jadwal Ulang Pemeriksaan Menteri Basuki sebagai Saksi Suap PUPR
240,"[<div class=""article__date"">02/05/2018, 17:49 WIB</div>]",Kompascom,"Kasus Suap Proyek PUPR, KPK Periksa Menteri Basuki "
241,"[<div class=""article__date"">02/05/2018, 14:37 WIB</div>]",Kompascom,KPK Periksa Tiga Saksi Terkait Kasus Suap Dinas PUPR Mojokerto
242,"[<div class=""article__date"">29/04/2018, 21:50 WIB</div>]",Kompascom,"Sisa 4 Bulan Lagi, Beberapa ""Venue"" Asian Games Belum Rampung "
243,"[<div class=""article__date"">25/04/2018, 16:00 WIB</div>]",Kompascom,"Per April, Pembangunan Venue Asian Games Habiskan Dana Rp 3,7 Triliun"
244,"[<div class=""article__date"">25/04/2018, 15:39 WIB</div>]",Kompascom,"Hingga April, Belanja Infrastruktur Kementerian PUPR Rp 15,4 Triliun"
245,"[<div class=""article__date"">25/04/2018, 13:14 WIB</div>]",Kompascom,Basuki Main Perkusi dengan 2 Wanita Cantik
246,"[<div class=""article__date"">24/04/2018, 11:37 WIB</div>]",Kompascom,Revitalisasi Rawapening Capai 40 Persen. 
247,"[<div class=""article__date"">19/04/2018, 22:57 WIB</div>]",Kompascom,"Basuki Teken Tarif Tol Ngawi-Wilangan, Berlaku Efektif 1 Mei"
248,"[<div class=""article__date"">18/04/2018, 23:30 WIB</div>]",Kompascom,Kementerian PUPR Bangun Rusunawa Khusus Lansia
249,"[<div class=""article__date"">18/04/2018, 13:02 WIB</div>]",Kompascom,Pemerintah Kirim Rangka Baja Pengganti Jembatan Babat
250,"[<div class=""article__date"">18/04/2018, 11:09 WIB</div>]",Kompascom,"Banyak Insiden Infrastruktur, Zulkifli Hasan Minta Pemerintah Evaluasi"
251,"[<div class=""article__date"">17/04/2018, 13:18 WIB</div>]",Kompascom,"Tunjangan PNS Naik, Basuki Minta Kinerja Ditingkatkan "
252,"[<div class=""article__date"">17/04/2018, 12:03 WIB</div>]",Kompascom,"Baut Lepas, Kementerian PUPR Klaim Rutin Merawat Jembatan Babat"
253,"[<div class=""article__date"">11/04/2018, 19:48 WIB</div>]",Kompascom,Kementerian PUPR Terjunkan Tim Ahli Tangani Ambruknya Jembatan Babat
254,"[<div class=""article__date"">03/04/2018, 14:00 WIB</div>]",Kompascom,Basuki Janjikan Umrah kepada Pelaku Konstruksi Inovatif
255,"[<div class=""article__date"">20/03/2018, 15:26 WIB</div>]",Kompascom,"Kasus Suap Proyek PUPR, KPK Perpanjang Penahanan Bupati Halmahera Timur"
256,"[<div class=""article__date"">20/03/2018, 12:00 WIB</div>]",Kompascom,Penyidik Direskrimus Ikut Pelatihan Kementerian PUPR
257,"[<div class=""article__date"">20/03/2018, 11:18 WIB</div>]",Kompascom,"Kecelakaan Kerja Lagi, Waskita Dipanggil Kementerian PUPR"
258,"[<div class=""article__date"">17/03/2018, 21:00 WIB</div>]",Kompascom,Basuki Pernah Kena Denda Pajak Rp 80 Juta
259,"[<div class=""article__date"">16/03/2018, 07:00 WIB</div>]",Kompascom,"Isi SPT, Basuki Sebut Pajak Sumber Dana Proyek Infrastruktur"
260,"[<div class=""article__date"">13/03/2018, 18:42 WIB</div>]",Kompascom,Basuki Minta 58 KM Jalan Rusak di Perbatasan Papua Beres 4 Bulan
261,"[<div class=""article__date"">12/03/2018, 22:22 WIB</div>]",Kompascom,Dinas PUPR Kendal Tuding Waskita Lambat Perbaiki Jalan Rusak
262,"[<div class=""article__date"">12/03/2018, 18:05 WIB</div>]",Kompascom,"Razia Air di Gedung Tinggi, Sandiaga Mengaku Diapresiasi Menteri PUPR"
263,"[<div class=""article__date"">12/03/2018, 15:49 WIB</div>]",Kompascom,Basuki Layangkan Rekomendasi Sanksi BUMN Karya kepada Rini
264,"[<div class=""article__date"">09/03/2018, 07:00 WIB</div>]",Kompascom,"Marak Kecelakaan Proyek, Polri Koordinasi dengan Kementerian PUPR soal Pengawasan"
265,"[<div class=""article__date"">04/03/2018, 07:00 WIB</div>]",Kompascom,Menteri PUPR Sebut Ada Pejabat Waskita yang Dicopot karena Kecelakaan di Tol Becakayu
266,"[<div class=""article__date"">02/03/2018, 20:03 WIB</div>]",Kompascom,Kementerian PUPR Rampungkan Lelang 5.269 Paket Pekerjaan
267,"[<div class=""article__date"">02/03/2018, 09:00 WIB</div>]",Kompascom,Basuki: Jangan Terlambat Bangun Tol di Batam
268,"[<div class=""article__date"">02/03/2018, 08:31 WIB</div>]",Kompascom,"Menteri Basuki: Rusunawa Khusus Mahasiswa, Harga Sewa Kamar Rp 1,2 Juta"
269,"[<div class=""article__date"">01/03/2018, 16:00 WIB</div>]",Kompascom,Kementerian PUPR Bakal Latih 1.000 Tenaga Pengawas Infrastruktur
270,"[<div class=""article__date"">20/02/2018, 15:15 WIB</div>]",Kompascom,"Hari Ini, Menteri Basuki Tinjau Bendungan Sei Gong"
271,"[<div class=""article__date"">20/02/2018, 13:14 WIB</div>]",Kompascom,"Waskita Karya Akui Lalai, Ini Kata Basuki"
272,"[<div class=""article__date"">20/02/2018, 11:16 WIB</div>]",Kompascom,"Imbas Kecelakaan Infrastruktur, Menteri PUPR Kumpulkan BUJT "
273,"[<div class=""article__date"">19/02/2018, 11:40 WIB</div>]",Kompascom,Kementerian PUPR Evaluasi Jatuhnya Cetakan Konstruksi Tol Becakayu
274,"[<div class=""article__date"">17/02/2018, 12:22 WIB</div>]",Kompascom,"Menteri PUPR Hentikan Sementara Semua Proyek Infrastruktur yang ""Elevated"""
275,"[<div class=""article__date"">17/02/2018, 07:41 WIB</div>]",Kompascom,Basuki Menangis Lihat Kerusakan Stadion Utama GBK
276,"[<div class=""article__date"">15/02/2018, 23:54 WIB</div>]",Kompascom,Basuki Singgung Kecelakaan Infrastruktur di Forum Akademisi UGM
277,"[<div class=""article__date"">15/02/2018, 15:38 WIB</div>]",Kompascom,"Hari Ini, Basuki Sambangi Rusun Mahasiswa UGM"
278,"[<div class=""article__date"">12/02/2018, 20:00 WIB</div>]",Kompascom,"Cegah Banjir, Dinas PUPR Depok Normalisasi Kali dan Situ"
279,"[<div class=""article__date"">12/02/2018, 19:35 WIB</div>]",Kompascom,"Terkait KPR FLPP, PUPR Segera Teken Kontrak dengan BTN"
280,"[<div class=""article__date"">07/02/2018, 08:18 WIB</div>]",Kompascom,Basuki akan Bersikap Keras Jika Pegawai Kementerian PUPR Berpolitik
281,"[<div class=""article__date"">07/02/2018, 07:00 WIB</div>]",Kompascom,"Banjir Rob di Pantura Semarang Tak Kunjung Surut, Ini Kata Menteri Basuki"
282,"[<div class=""article__date"">05/02/2018, 21:00 WIB</div>]",Kompascom,Kementerian PUPR Targetkan Pembersihan Longsor Puncak Selesai Sepekan
283,"[<div class=""article__date"">05/02/2018, 17:00 WIB</div>]",Kompascom,"Banjir Masih Ancam Jakarta, Ini Antisipasi Pemerintah"
284,"[<div class=""article__date"">02/02/2018, 10:30 WIB</div>]",Kompascom,Basuki Sebut Alat Konstruksi Proyek DDT Baru
285,"[<div class=""article__date"">26/01/2018, 06:04 WIB</div>]",Kompascom,"Banyak Proyek Infrastruktur, Basuki Mengaku Tak Kewalahan"
286,"[<div class=""article__date"">24/01/2018, 14:00 WIB</div>]",Kompascom,Kontraktor Kecil dan Menengah Kuasai Proyek Kementerian PUPR
287,"[<div class=""article__date"">24/01/2018, 11:00 WIB</div>]",Kompascom,"Pulang Kerja, Dua Menteri Jokowi Asyik ""Nge-band"""
288,"[<div class=""article__date"">24/01/2018, 10:00 WIB</div>]",Kompascom,Kementerian PUPR Segera Umumkan Komite Keselamatan Konstruksi
289,"[<div class=""article__date"">18/01/2018, 16:43 WIB</div>]",Kompascom,"Jumat, Kementerian PUPR Umumkan Hasil Audit Insiden LRT"
290,"[<div class=""article__date"">17/01/2018, 14:39 WIB</div>]",Kompascom,"Kecelakaan Kerja Kerap Terjadi, Komisi V DPR Panggil Kementerian PUPR"
291,"[<div class=""article__date"">16/01/2018, 09:34 WIB</div>]",Kompascom,"Soal Ambrolnya Mezanin BEI, Ini Kata Menteri Basuki"
292,"[<div class=""article__date"">15/01/2018, 12:10 WIB</div>]",Kompascom,DKI Koordinasi dengan Kementerian PUPR untuk Renovasi Museum Bahari
293,"[<div class=""article__date"">11/01/2018, 13:25 WIB</div>]",Kompascom,Kementerian PUPR Terjunkan Tim Khusus Pasca Mezanin BEI Ambruk
294,"[<div class=""article__date"">10/01/2018, 22:00 WIB</div>]",Kompascom,"Basuki: Semua ""Venue"" untuk Asian Games Sudah Siap"
295,"[<div class=""article__date"">05/01/2018, 21:41 WIB</div>]",Kompascom,"Tahun Ini, Kementerian PUPR Mulai Bangun Irigasi Premium"
296,"[<div class=""article__date"">05/01/2018, 16:27 WIB</div>]",Kompascom,"Kejar Target Sejuta Rumah, 120 Pejabat Kementerian PUPR Dilantik"
297,"[<div class=""article__date"">02/01/2018, 16:20 WIB</div>]",Kompascom,Kementerian PUPR Wajibkan Alat Berat Diregistrasi
298,"[<div class=""article__date"">29/12/2017, 12:39 WIB</div>]",Kompascom,"Sudah Rp 13,8 Triliun Anggaran yang Dibelanjakan Kementerian PUPR"
299,"[<div class=""article__date"">29/12/2017, 12:25 WIB</div>]",Kompascom,"Soal SUGBK untuk Laga Vs Islandia, PSSI Bersurat ke Kementerian PUPR"
300,"[<div class=""article__date"">15/12/2017, 06:36 WIB</div>]",Kompascom,"Jelang Tutup Tahun, Penyerapan Anggaran Kementerian PUPR 90,48 Persen"
301,"[<div class=""article__date"">14/12/2017, 13:00 WIB</div>]",Kompascom,"Kementerian PUPR Siapkan Rp 11,24 Triliun untuk Program Padat Karya "
302,"[<div class=""article__date"">13/12/2017, 23:30 WIB</div>]",Kompascom,"Bertemu Menteri PUPR, Fadli Zon Sempat Bahas Pembangunan Gedung DPR"
303,"[<div class=""article__date"">13/12/2017, 21:46 WIB</div>]",Kompascom,Pembangunan Tol Bawen-Yogyakarta Mundur Setahun
304,"[<div class=""article__date"">12/12/2017, 07:26 WIB</div>]",Kompascom,Saatnya Teknologi Sosrobahu Jadi Tuan Rumah di Negeri Sendiri
305,"[<div class=""article__date"">11/12/2017, 22:00 WIB</div>]",Kompascom,"Resmi, ""Pier Head"" Perdana Tol Layang Jakarta-Cikampek Diputar"
306,"[<div class=""article__date"">11/12/2017, 20:56 WIB</div>]",Kompascom,"Pulang dari Turki, Jokowi akan Resmikan Tol Surabaya-Mojokerto"
307,"[<div class=""article__date"">11/12/2017, 19:29 WIB</div>]",Kompascom,"Dianggap Tidak Adil, Ini Jawaban Basuki kepada Kontraktor Daerah"
308,"[<div class=""article__date"">11/12/2017, 14:04 WIB</div>]",Kompascom,Kementerian PUPR Telah Melelang 1.320 Paket Pekerjaan
309,"[<div class=""article__date"">07/12/2017, 18:30 WIB</div>]",Kompascom,Begini Cara Basuki Cegah Korupsi di Kementerian PUPR
310,"[<div class=""article__date"">07/12/2017, 11:00 WIB</div>]",Kompascom,Kementerian PUPR Jadikan REI Mitra Terbaik Bangun Sejuta Rumah
311,"[<div class=""article__date"">07/12/2017, 09:43 WIB</div>]",Kompascom,"10 Tahun Pertama Bangun Tol, Investor Pasti Rugi"
312,"[<div class=""article__date"">06/12/2017, 18:30 WIB</div>]",Kompascom,"Kata Basuki, Macet di Tol karena Pemerintah Terlambat Membangun"
313,"[<div class=""article__date"">04/12/2017, 10:00 WIB</div>]",Kompascom,"DPR Tuding Jalan Tol Dikuasai ""Aseng"", Ini Jawaban Basuki"
314,"[<div class=""article__date"">01/12/2017, 22:00 WIB</div>]",Kompascom,"Meski Sering Macet, Kenaikan Tarif Tol Dalam Kota Disetujui Pemerintah"
315,"[<div class=""article__date"">28/11/2017, 16:13 WIB</div>]",Kompascom,Indonesia Tak Perlu Lagi Impor Bentang Panjang Jembatan
316,"[<div class=""article__date"">28/11/2017, 13:42 WIB</div>]",Kompascom,"Ditawarkan ke Investor, Bendungan Tiga Dihaji Tak Laku"
317,"[<div class=""article__date"">28/11/2017, 11:39 WIB</div>]",Kompascom,Basuki Ajak Warga Tanam Pohon di Sekitar Bendungan Raknamo 
318,"[<div class=""article__date"">28/11/2017, 09:05 WIB</div>]",Kompascom,Bendungan Terbesar di NTT Dibangun Awal 2018
319,"[<div class=""article__date"">27/11/2017, 10:01 WIB</div>]",Kompascom,"Tabuh Drum lalu Nyanyi ""Sio Mama"", Menteri Basuki Tuai Tepuk Tangan"
320,"[<div class=""article__date"">24/11/2017, 16:44 WIB</div>]",Kompascom,Duet Tim Basuki-TNI Targetkan 366 Kilometer Trans Papua Tersambung 
321,"[<div class=""article__date"">23/11/2017, 21:46 WIB</div>]",Kompascom,Ini Manfaat Bendungan Kuningan bagi Masyarakat Sekitar...
322,"[<div class=""article__date"">23/11/2017, 14:30 WIB</div>]",Kompascom,"Tunggu Jadwal Presiden, Tol Surabaya-Mojokerto Siap Diresmikan"
323,"[<div class=""article__date"">23/11/2017, 12:20 WIB</div>]",Kompascom,"Bersama Kadis PUPR, Wali Kota Mojokerto Diduga Ikut Suap Pimpinan DPRD"
324,"[<div class=""article__date"">23/11/2017, 09:09 WIB</div>]",Kompascom,"Kawasan GBK Senayan, Nostalgia Sri Mulyani Kala Muda"
325,"[<div class=""article__date"">22/11/2017, 23:59 WIB</div>]",Kompascom,Saat Basuki dan Sri Mulyani Unjuk Kebolehan Bermain Bola
326,"[<div class=""article__date"">22/11/2017, 14:28 WIB</div>]",Kompascom,Bendung Rentang Terus Berbenah Menyambut Asian Games 2018
327,"[<div class=""article__date"">22/11/2017, 11:17 WIB</div>]",Kompascom,"2017 Tinggal Sebulan Lagi, Rumah Khusus Terbangun Baru 5.083 Unit"
328,"[<div class=""article__date"">19/11/2017, 18:34 WIB</div>]",Kompascom,Kementerian PUPR Segera Keluarkan Rekomendasi untuk Gedung Baru DPR
329,"[<div class=""article__date"">19/11/2017, 10:53 WIB</div>]",Kompascom,"Hari Ini, Pemerintah Serahkan DIM RUU Pertanahan ke DPR"
330,"[<div class=""article__date"">16/11/2017, 06:44 WIB</div>]",Kompascom,"Supaya Mudah Bangun Rumah, Pengembang Wajib Terdaftar di Kemenkumham"
331,"[<div class=""article__date"">15/11/2017, 11:30 WIB</div>]",Kompascom,UBC Expo Kembali Digelar di Kementerian PUPR
332,"[<div class=""article__date"">15/11/2017, 09:50 WIB</div>]",Kompascom,Menteri PUPR: DPR Enggak Harus Bangun Gedung Baru dari Nol
333,"[<div class=""article__date"">14/11/2017, 20:30 WIB</div>]",Kompascom,"Desain Bendungan Lolak Berubah, Anggaran Membengkak "
334,"[<div class=""article__date"">14/11/2017, 19:30 WIB</div>]",Kompascom,"Terima Sertifikat, Kementerian PUPR Kini Bisa Revitalisasi Situ"
335,"[<div class=""article__date"">14/11/2017, 11:51 WIB</div>]",Kompascom,"Basuki Ingatkan PP Bangun Bendungan Harus ""Zero Accident"""
336,"[<div class=""article__date"">13/11/2017, 13:30 WIB</div>]",Kompascom,"Awal Tahun, Basuki Bakal Cek Kembali Hasil Kerja Kontraktor China"
337,"[<div class=""article__date"">11/11/2017, 19:30 WIB</div>]",Kompascom,Tahun 2018 Ditjen Bina Marga Kementerian PUPR Bangun 3.331 Km Jalan Baru
338,"[<div class=""article__date"">10/11/2017, 23:26 WIB</div>]",Kompascom,Ini Cara Pemerintah Hapus Wajah Kumuh Kampung Nelayan
339,"[<div class=""article__date"">08/11/2017, 15:27 WIB</div>]",Kompascom,"Dijajal Basuki Semalam, Ini Tampilan Baru Stadion Renang GBK Senayan"
340,"[<div class=""article__date"">08/11/2017, 14:35 WIB</div>]",Kompascom,Indonesia-Korsel Kerja Sama Garap SPAM Karian
341,"[<div class=""article__date"">07/11/2017, 14:14 WIB</div>]",Kompascom,315 Perusahaan Konstruksi Padati Indonesia Infrastructure Week
342,"[<div class=""article__date"">06/11/2017, 17:00 WIB</div>]",Kompascom,"Dituntut 12 Tahun, Musa Minta Pejabat PUPR Juga Dijadikan Tersangka"
343,"[<div class=""article__date"">06/11/2017, 15:00 WIB</div>]",Kompascom,Kementerian PUPR Bangun 19 Jembatan di Sabuk Merah Perbatasan NTT pada 2018
344,"[<div class=""article__date"">03/11/2017, 23:38 WIB</div>]",Kompascom,"Hanya 0,5 Persen Masyarakat yang Tertarik DP Rumah 1 Persen"
345,"[<div class=""article__date"">31/10/2017, 09:09 WIB</div>]",Kompascom,"Soal DP Rumah 0 Persen, Pemerintah Pusat Serahkan ke Pemda"
346,"[<div class=""article__date"">30/10/2017, 22:00 WIB</div>]",Kompascom,VIDEO: Menteri PUPR Sidak Perombakan Drainase Istana
347,"[<div class=""article__date"">30/10/2017, 16:00 WIB</div>]",Kompascom,"Kecelakaan Tol Paspro Makan Korban, Bisakah Waskita Dipidana?"
348,"[<div class=""article__date"">30/10/2017, 14:38 WIB</div>]",Kompascom,"Basuki: Ke Depan Tak Perlu Pusat Belanja dan ""Supermarket"" Gede"
349,"[<div class=""article__date"">28/10/2017, 20:48 WIB</div>]",Kompascom,"Basuki Sindir Generasi ""Zaman Now"" Kementerian PUPR"
350,"[<div class=""article__date"">26/10/2017, 21:09 WIB</div>]",Kompascom,"Basuki: Sudah Dapat ISO, Kelakuan Harus Berubah"
351,"[<div class=""article__date"">26/10/2017, 17:37 WIB</div>]",Kompascom,Kementerian PUPR Bangun 1016 meter Jembatan di Paralel Perbatasan
352,"[<div class=""article__date"">24/10/2017, 18:36 WIB</div>]",Kompascom,Warga Gugat Kementerian PUPR soal Pembebasan Lahan Tol Malang-Pandaan
353,"[<div class=""article__date"">23/10/2017, 20:45 WIB</div>]",Kompascom,Menteri PUPR: Tak Ada Rencana Bangun Tol dari Kulonprogo ke Borobudur
354,"[<div class=""article__date"">20/10/2017, 10:03 WIB</div>]",Kompascom,Menteri PUPR Sidak Proyek Drainase Senilai Rp 44 Miliar di Istana
355,"[<div class=""article__date"">17/10/2017, 23:00 WIB</div>]",Kompascom,Pembangunan Gedung baru DPR Bakal Diserahkan ke Kementerian PUPR
356,"[<div class=""article__date"">15/10/2017, 16:26 WIB</div>]",Kompascom,Kementerian PUPR Awasi Perbaikan Jalan Rusak di Medan yang Dikeluhkan Jokowi
357,"[<div class=""article__date"">12/10/2017, 18:00 WIB</div>]",Kompascom,Kementerian PUPR Minta Swasta Ikut Kembangkan TOD
358,"[<div class=""article__date"">12/10/2017, 15:00 WIB</div>]",Kompascom,"Arie S Moerwanto, Alumnus Pertama Asia Terima Penghargaan IHE Delft"
359,"[<div class=""article__date"">08/10/2017, 10:02 WIB</div>]",Kompascom,"Dapat Tambahan Rp 475 Miliar, Ini Program Baru Kementerian PUPR"
360,"[<div class=""article__date"">24/08/2017, 08:00 WIB</div>]",Kompascom,PUPR Dapat Tambahan Anggaran Rp 475 Miliar di RAPBN 2018
361,"[<div class=""article__date"">23/08/2017, 14:11 WIB</div>]",Kompascom,"Lihat Separator Membahayakan, Laporkan Melalui Aplikasi Ini"
362,"[<div class=""article__date"">21/08/2017, 15:15 WIB</div>]",Kompascom,Kementrian PUPR Upayakan Wajah Baru Permukiman Indonesia
