,media,Title,Desc,titledesc,sentiment
139,JakartaPost,World Bank projects higher growth Indonesia calls better spending,Effective spending along with reform in fiscal policy and the investment climate will help Indonesia...,"World Bank projects higher growth for Indonesia, calls for better spending Effective spending along with reform in fiscal policy and the investment climate will help Indonesia...","Sentiment(polarity=0.375, subjectivity=0.5)"
140,JakartaPost,Indonesia sees Japan as model infrastructure development,"The government has high hopes that Japan will help to boost national development in various sectors,...","Indonesia sees Japan as model for infrastructure development The government has high hopes that Japan will help to boost national development in various sectors,...","Sentiment(polarity=0.0, subjectivity=0.0)"
141,JakartaPost,More teaching volunteers needed Indonesia  rural remote schools,"About 200 kilometers from the city of Merauke, Papua, there is a village named Bupul located at the ...","More teaching volunteers needed in Indonesia's rural, remote schools About 200 kilometers from the city of Merauke, Papua, there is a village named Bupul located at the ...","Sentiment(polarity=0.13333333333333333, subjectivity=0.2333333333333333)"
142,JakartaPost,Poor infrastructure outside Java impedes KFC expansion,Poor infrastructure in secondary cities has created a hurdle for the expansion of Kentucky Fried Chi...,Poor infrastructure outside Java impedes KFC expansion Poor infrastructure in secondary cities has created a hurdle for the expansion of Kentucky Fried Chi...,"Sentiment(polarity=-0.2, subjectivity=0.325)"
143,JakartaPost,Transportation Ministry focus research infrastructure,The Transportation Ministry’s research and development department’s program for next yea...,Transportation Ministry to focus research on infrastructure The Transportation Ministry’s research and development department’s program for next yea...,"Sentiment(polarity=0.0, subjectivity=0.0)"
144,JakartaPost,Indonesia should make land acquisitions more transparent and participative,"To improve Indonesia’s economy, President Joko Widodo has made infrastructure development &nda...","Indonesia should make land acquisitions more transparent and participative To improve Indonesia’s economy, President Joko Widodo has made infrastructure development &nda...","Sentiment(polarity=0.5, subjectivity=0.5)"
145,JakartaPost,Regional issues may thwart infrastructure spending,Regional administrations may face challenges in implementing an upcoming rule to boost infrastructur...,Regional issues may thwart infrastructure spending Regional administrations may face challenges in implementing an upcoming rule to boost infrastructur...,"Sentiment(polarity=0.0, subjectivity=0.0)"
146,JakartaPost,Indonesia explores opportunities brownfield investments,"Indonesia is planning to open up state-owned run infrastructure, such as toll roads, to private inve...","Indonesia explores opportunities in brownfield investments Indonesia is planning to open up state-owned run infrastructure, such as toll roads, to private inve...","Sentiment(polarity=0.0, subjectivity=0.0)"
147,JakartaPost,Certainty sought lure investors Indonesian infrastructure projects,Indonesia needs to convince investors that its infrastructure projects could run in a structured man...,Certainty sought to lure investors for Indonesian infrastructure projects Indonesia needs to convince investors that its infrastructure projects could run in a structured man...,"Sentiment(polarity=0.0, subjectivity=0.0)"
148,JakartaPost,Indonesia holds key future ASEAN physical connectivity,Indonesia holds the key to the future of ASEAN’s physical connectivity as the 10-member associ...,Indonesia holds key to future of ASEAN physical connectivity Indonesia holds the key to the future of ASEAN’s physical connectivity as the 10-member associ...,"Sentiment(polarity=0.0, subjectivity=0.4226190476190476)"
149,JakartaPost,Mega projects expected drive Indonesian market 2017,The construction market will have to continue relying on the government’s ambitious effort to ...,Mega projects expected to drive Indonesian market in 2017 The construction market will have to continue relying on the government’s ambitious effort to ...,"Sentiment(polarity=-0.1, subjectivity=0.4)"
150,JakartaPost,Ministry seeks optimize assets accelerate projects,The Public Works and Public Housing Ministry is looking to optimally use state assets under its mana...,Ministry seeks to optimize assets to accelerate projects The Public Works and Public Housing Ministry is looking to optimally use state assets under its mana...,"Sentiment(polarity=0.0, subjectivity=0.0)"
