url;Pos Rel Image;Pos Rel Image_alt;Pos Rel Image_link;Fbo;Fbo_link;Grey2pt5;Grey
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/sandiaga-nih4_20180313_161114.jpg;sandiaga-nih4_20180313_161114.jpg;http://www.tribunnews.com/metropolitan/2018/03/13/pemprov-bekerja-sama-dengan-kementerian-pupr-guna-percepatan-pembangunan-jakarta;Pemprov Bekerja Sama dengan Kementerian PUPR Guna Percepatan Pembangunan Jakarta;http://www.tribunnews.com/metropolitan/2018/03/13/pemprov-bekerja-sama-dengan-kementerian-pupr-guna-percepatan-pembangunan-jakarta;Menurut Sandi, Pemprov DKI dalam hal ini telah melakukan bentuk kongret dalam pelaksanaan penyetopan penurunan muka tanah.;Selasa, 13 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/uji-kompetensi_20180313_134420.jpg;uji-kompetensi_20180313_134420.jpg;http://www.tribunnews.com/nasional/2018/03/13/pemerintah-luncurkan-uji-kompetensi-keahlian-dan-sertifikasi-siswa-smk-bidang-konstruksi;Pemerintah Luncurkan Uji Kompetensi Keahlian dan Sertifikasi Siswa SMK Bidang Konstruksi;http://www.tribunnews.com/nasional/2018/03/13/pemerintah-luncurkan-uji-kompetensi-keahlian-dan-sertifikasi-siswa-smk-bidang-konstruksi;Pemerintah terus meningkatkan peran pendidikan kejuruan untuk menciptakan sumberdaya manusia yang berkualitas sesuai dengan kebutuhan kerja.;Selasa, 13 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/kemenpupr_20180303_111144.jpg;kemenpupr_20180303_111144.jpg;http://www.tribunnews.com/nasional/2018/03/03/kementerian-pupr-dukung-industri-pariwisata-batam-melalui-pembangunan-rusun-mahasiswa;Kementerian PUPR Dukung Industri Pariwisata Batam Melalui Pembangunan Rusun Mahasiswa;http://www.tribunnews.com/nasional/2018/03/03/kementerian-pupr-dukung-industri-pariwisata-batam-melalui-pembangunan-rusun-mahasiswa;Pembangunan Rusun Mahasiswa BTP dimulai pada 5 Mei 2017 yang peletakan batu pertamanya dilakukan oleh Menteri Basuki dan selesai pada Desember 2017.;Sabtu, 3 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/kemenpupr_20180303_110201.jpg;kemenpupr_20180303_110201.jpg;http://www.tribunnews.com/nasional/2018/03/03/pasok-air-baku-kota-batam-pembangunan-bendungan-sei-gong-rampung-akhir-tahun-2018;Pasok Air Baku Kota Batam, Pembangunan Bendungan Sei Gong Rampung Akhir Tahun 2018;http://www.tribunnews.com/nasional/2018/03/03/pasok-air-baku-kota-batam-pembangunan-bendungan-sei-gong-rampung-akhir-tahun-2018;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) tengah menyelesaikan pembangunan Bendungan Sei Gong di Pulau Galang.;Sabtu, 3 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/asian-games-dipromosikan-lewat-seni-mural_20180301_224120.jpg;asian-games-dipromosikan-lewat-seni-mural_20180301_224120.jpg;http://www.tribunnews.com/sport/2018/03/01/promosi-asian-games-lewat-seni-mural-menpora-akan-minta-izin-kepada-kementerian-pu-dan-gubernur-dki;Promosi Asian Games Lewat Seni Mural, Menpora akan Minta Izin Kepada Kementerian PU dan Gubernur DKI;http://www.tribunnews.com/sport/2018/03/01/promosi-asian-games-lewat-seni-mural-menpora-akan-minta-izin-kepada-kementerian-pu-dan-gubernur-dki;Menpora mengapresiasi keinginan para pengurus Cikini Art Stage yang mau membantu pemerintah dalam mempromosikan Asian Games 2018 lewat seni mural.;Kamis, 1 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/penandatanganan-mou_20180301_184052.jpg;penandatanganan-mou_20180301_184052.jpg;http://www.tribunnews.com/nasional/2018/03/01/tiga-kementerian-bersama-kejaksaan-agung-tandatangani-mou-pengawasan-pembanguan-infrastruktur;Tiga Kementerian Bersama Kejaksaan Agung Tandatangani MoU Pengawasan Pembanguan Infrastruktur;http://www.tribunnews.com/nasional/2018/03/01/tiga-kementerian-bersama-kejaksaan-agung-tandatangani-mou-pengawasan-pembanguan-infrastruktur;Selain itu, Prasetyo turut menugaskan Tim Pengawal dan Pengaman Pemerintah dan Pembangunan (TP4) untuk mengawal jalannya proyek-proyek infrastruktur;Kamis, 1 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/waskita-karya_20150804_131728.jpg;waskita-karya_20150804_131728.jpg;http://www.tribunnews.com/bisnis/2018/03/01/dirut-pt-waskita-karya-minta-maaf-banyak-kecelakaan-konstruksi-di-proyek-waskita-karya;Dirut PT Waskita Karya Minta Maaf Banyak Kecelakaan Konstruksi di Proyek Waskita Karya;http://www.tribunnews.com/bisnis/2018/03/01/dirut-pt-waskita-karya-minta-maaf-banyak-kecelakaan-konstruksi-di-proyek-waskita-karya;Dirut PT Waskita Karya (Persero) M Choliq meminta maaf kepada publik karena banyaknya jumlah kecelakaan konstruksi pada proyek Waskita Karya.;Kamis, 1 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/kepala-kkk-syarief-burhannuddin_20180301_104806.jpg;kepala-kkk-syarief-burhannuddin_20180301_104806.jpg;http://www.tribunnews.com/bisnis/2018/03/01/kkk-kementerian-pupr-izinkan-38-proyek-jalur-layang-lanjutkan-pembangunan-berikut-daftarnya;KKK Kementerian PUPR Izinkan 38 Proyek Jalur Layang Lanjutkan Pembangunan, Berikut Daftarnya;http://www.tribunnews.com/bisnis/2018/03/01/kkk-kementerian-pupr-izinkan-38-proyek-jalur-layang-lanjutkan-pembangunan-berikut-daftarnya;Komite Keselamatan Konstruksi Kementerian PUPR mengizinkan 38 proyek konstruksi layang atau elevated untuk melanjutkan pembangunan.;Kamis, 1 Maret 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/danis-sumadilaga-kementerian-pupr_20180223_063850.jpg;danis-sumadilaga-kementerian-pupr_20180223_063850.jpg;http://www.tribunnews.com/nasional/2018/02/23/program-pengembangan-infrastruktur-di-distrik-agats-kementerian-pupr-anggarkan-rp-600-miliar;Program Pengembangan Infrastruktur di Distrik Agats, Kementerian PUPR Anggarkan Rp 600 Miliar;http://www.tribunnews.com/nasional/2018/02/23/program-pengembangan-infrastruktur-di-distrik-agats-kementerian-pupr-anggarkan-rp-600-miliar;Kementerian PUPR menganggarkan sekitar Rp 500 sampai Rp 600 miliar untuk program pengembangan infrastruktur di Distrik Agats.;Jumat, 23 Februari 2018
http://www.tribunnews.com/tag/kementerian-pupr?page=8;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/kepala-badan-penelitian_20180222_225611.jpg;kepala-badan-penelitian_20180222_225611.jpg;http://www.tribunnews.com/nasional/2018/02/22/program-kementerian-pupr-untuk-agats-tahun-2018;Program Kementerian PUPR Untuk Agats Tahun 2018;http://www.tribunnews.com/nasional/2018/02/22/program-kementerian-pupr-untuk-agats-tahun-2018;Danis juga mengatakan seluruh program tersebut rencananya akan selesai di akhir tahun 2018 ini.;Kamis, 22 Februari 2018
