;sentence;polarity;Subjectivity;Sentiment_Type
62;Eks Penasihat KPK Cium Keanehan Teror Cuma ke Dua Pimpinan;0.0;1.0;Neutral
63;Pemprov DKI Pegang Pengelolaan Transportasi Umum Jabodetabek;0.0;0.06666666666666667;Neutral
64;Kepala BNPB Doni Monardo Langsung Rapat Penanganan Bencana;0.1;0.4;Positive
65;Beda Pembangunan Infrastruktur Era Soeharto Hingga Jokowi;0.0;0.6;Neutral
66;Jokowi Kaji Bentuk Lembaga Baru Urus Transportasi Jabodetabek;0.13636363636363635;0.45454545454545453;Positive
67;Habiburokhman: Debat Perdana Akan Berat untuk Jokowi;-0.2;0.5;Negative
68;Jokowi: Indonesia Rugi Rp65 Triliun Gara-gara Macet;-0.2125;0.2375;Negative
69;Kronologi Kisruh Bank Dunia Kritik Infrastruktur Jokowi;0.0;0.0;Neutral
70;Aher Mangkir Tanpa Penjelasan, Sumarsono Minta Jadwal Ulang;0.0;0.0;Neutral
71;Pengusaha Amini Kritik Bank Dunia ke Jokowi;0.0;0.0;Neutral
72;Sri Mulyani Akui Bahas Laporan 'Pedas' Bank Dunia;0.0;0.0;Neutral
73;Respons Para Menteri Jokowi soal Kritik Pedas Bank Dunia;0.0;0.8;Neutral
74;Beli Karet Campuran Aspal, Pemerintah Siapkan Dana Rp20 M;0.0;0.25;Neutral
75;Bank Dunia Akui Laporan Infrastruktur Jokowi Belum Final;0.0;1.0;Neutral
76;KPK Agendakan Periksa Aher hingga Soni Sumarsono Hari Ini;0.0;0.0;Neutral
77;Flyover Kemayoran Retak, Pengelola Janji Perbaiki Malam Ini;0.0;0.0;Neutral
78;Dilarang KPU, Jokowi Ganti Hadiah Sepeda dengan Foto Bersama;0.0;0.0;Neutral
79;Suap Proyek Air Minum, KPK Periksa Anak Buah Menteri PUPR;0.0;0.0;Neutral
80;Geledah Ditjen Cipta Karya PUPR, KPK Sita Dokumen Proyek;0.02500000000000001;0.3;Positive
81;KPK Bidik Pejabat Kementerian PUPR soal Suap Proyek Air Minum;0.0;0.0;Neutral
82;Perbaikan Flyover Cengkareng Diperpanjang, Dibuka 7 Januari;0.0;0.0;Neutral
83;Gempa Magnitudo 4,6 di Ambon, Tak Berpotensi Tsunami;0.0;1.0;Neutral
84;BPN Tegaskan Bangun Jalan Tol Tanpa Utang Bisa Dilakukan;0.0;0.0;Neutral
85;PUPR Rampungkan 190 Hunian Sementara Korban Gempa Sulteng;0.0;0.25;Neutral
86;Kritisi Infrastruktur Jokowi, Sandi Gunakan Data Bank Dunia;0.0;0.0;Neutral
87;KPK Sita Rp1,2 M dari Rumah Tersangka Penyuap Proyek SPAM;0.0;0.0;Neutral
88;KPK Geledah Rumah Pejabat PUPR hingga Petinggi PT WKE;0.0;0.0;Neutral
89;Jokowi Beri Tenggat Relokasi Pesisir Lampung Tiga Bulan;0.0;0.0;Neutral
90;Dampak Tsunami, Jokowi Ingin Warga Pesisir Lampung Direlokasi;0.2;0.1;Positive
91;Usai Tsunami Selat Sunda, Jokowi Minta Kawasan Pesisir Ditata;0.0;0.0;Neutral
92;PUPR Klaim Tol Trans Jawa Bikin Arus Mudik Natal Lancar;0.4;0.5;Positive
93;Prihatin Kasus Suap PUPR, Sandi Ingin Sentuh Akhlak Birokrat;0.2;0.1;Positive
94;Dalami Kasus Suap SPAM, KPK Geledah Kantor Kementerian PUPR;0.0;0.0;Neutral
95;111 IKM Dapat Diskon Peremajaan Mesin Produksi Rp11 Miliar;0.0;0.0;Neutral
96;Rumah bagi Orang Miskin Tetap Jadi Prioritas PUPR di 2019;-0.4;0.6;Negative
97;Prabowo: 2025 RI Krisis Air Bersih dan BBM Impor 100 Persen;0.3666666666666667;0.7000000000000001;Positive
98;PUPR Kaji Setop Kontrak Perusahaan Penyuap Proyek Air Minum;0.0;0.0;Neutral
99;Pengelolaan Sampah dan Air Limbah Dorong Kemajuan Bangsa;-0.2;0.0;Negative
100;PDIP Dukung Wacana Borgol Tahanan Korupsi;0.0;0.0;Neutral
101;KPK Tahan 8 Tersangka Suap Proyek Air Minum PUPR;0.0;0.0;Neutral
102;Kronologi OTT Dugaan Suap Proyek Air Minum;-0.1;0.1;Negative
103;KPK Kaji Pemberatan Hukum Tersangka Suap Proyek Air Minum;0.0;0.0;Neutral
104;KPK Tetapkan Delapan Tersangka Kasus Korupsi Proyek Air Minum;0.0;0.0;Neutral
105;KPK Sita Miliaran Rupiah dalam OTT Proyek Air untuk Bencana;0.0;0.0;Neutral
106;VIDEO: KPK Tangkap Pejabat PUPR karena Kasus Proyek Air Minum;0.0;0.0;Neutral
107;KPK: Banyak Proyek Air Minum Terkait OTT Pejabat PUPR;0.25;0.45;Positive
108;Sambangi KPK, Irjen PUPR Pulang 'Tangan Kosong';0.05000000000000002;0.5;Positive
109;Menteri Basuki: Celah Korupsi dari Proses Pengadaan Barang;0.0;0.0;Neutral
110;OTT Pejabat PUPR, KPK Usut Relasi Proyek Air Minum Bencana;0.0;0.0;Neutral
111;Anak Buah Diciduk, Irjen Kementerian PUPR Sambangi KPK;0.016666666666666673;0.2111111111111111;Positive
112;Menteri PUPR Timbang Beri Bantuan Hukum Pejabat Terciduk KPK;0.2;0.2;Positive
113;KPK: 20 Orang Diciduk dalam OTT Pejabat Kementerian PUPR;0.0;0.0;Neutral
